Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20
"(72, 0.07351125264055586)","(32, 0.0)","(32, 0.0)","(86, 0.14228518287791944)","(32, 0.0)","(133, 0.06802662419685615)","(394, 0.10407406147942175)","(32, 0.0)","(34, 0.1110746021849668)","(620, 0.18111143030685467)","(273, 0.1107931472669506)","(46, 0.19372921764334206)","(32, 0.0)","(32, 0.0)","(309, 0.11400239931791101)","(414, 0.11179239154815214)","(157, 0.1148792755370271)","(32, 0.0)","(618, 0.1620280096343357)","(32, 0.0)"
"(302, 0.07270716789804575)","(320, 0.0)","(320, 0.0)","(34, 0.142164538002175)","(320, 0.0)","(107, 0.06778347632853679)","(542, 0.10399424156363524)","(320, 0.0)","(180, 0.11028649427695959)","(33, 0.18099256332213381)","(58, 0.11006933389577654)","(13, 0.1932570184994669)","(320, 0.0)","(320, 0.0)","(568, 0.11328474643144865)","(612, 0.11175781880312924)","(182, 0.11477309141418879)","(320, 0.0)","(499, 0.16142996785555888)","(320, 0.0)"
"(230, 0.07254098772583199)","(321, 0.0)","(321, 0.0)","(181, 0.14174543087951771)","(321, 0.0)","(23, 0.06749757634695272)","(117, 0.10387767651950779)","(321, 0.0)","(30, 0.11004062897444279)","(459, 0.18096345354762608)","(157, 0.11002565601376553)","(98, 0.19238621477008477)","(321, 0.0)","(321, 0.0)","(38, 0.11255714744731408)","(504, 0.11157247470215852)","(670, 0.11445697266012875)","(321, 0.0)","(393, 0.16141201952146383)","(321, 0.0)"
"(413, 0.07176861951724761)","(322, 0.0)","(322, 0.0)","(476, 0.1416841292800191)","(322, 0.0)","(90, 0.06741554342243909)","(642, 0.10328049003409911)","(322, 0.0)","(290, 0.10964487471101891)","(588, 0.1808259617075384)","(391, 0.10979277067108695)","(95, 0.19181492633119832)","(322, 0.0)","(322, 0.0)","(122, 0.1124970292037217)","(560, 0.11042928716635306)","(543, 0.11364092475225432)","(322, 0.0)","(164, 0.16133170484208656)","(322, 0.0)"
"(427, 0.07174977567749831)","(323, 0.0)","(323, 0.0)","(187, 0.1409931637149078)","(323, 0.0)","(11, 0.06516253523595898)","(520, 0.10302938933958256)","(323, 0.0)","(123, 0.10912968809383514)","(23, 0.18055157745025968)","(562, 0.10942456857279599)","(74, 0.19163119473545454)","(323, 0.0)","(323, 0.0)","(507, 0.11214927429100213)","(536, 0.10992993907496681)","(493, 0.11298043764546606)","(323, 0.0)","(563, 0.16131738295353074)","(323, 0.0)"
"(547, 0.07167015739367444)","(324, 0.0)","(324, 0.0)","(332, 0.14080342283080974)","(324, 0.0)","(188, 0.06478624999387439)","(633, 0.10302309619789757)","(324, 0.0)","(245, 0.10901201540297192)","(204, 0.17955802615765643)","(474, 0.10894358124260752)","(89, 0.19153602571340891)","(324, 0.0)","(324, 0.0)","(147, 0.1115310402438363)","(500, 0.10991900304654875)","(672, 0.1126509512479039)","(324, 0.0)","(15, 0.161075694854484)","(324, 0.0)"
"(584, 0.07165258832693366)","(325, 0.0)","(325, 0.0)","(535, 0.14044808024212962)","(325, 0.0)","(218, 0.06477468253404271)","(237, 0.10270642914779607)","(325, 0.0)","(391, 0.10860123941844357)","(100, 0.17818122583138613)","(161, 0.1086811245490342)","(555, 0.19080110035371214)","(325, 0.0)","(325, 0.0)","(26, 0.11130393866096366)","(15, 0.10932637794597275)","(661, 0.11204620339522925)","(325, 0.0)","(100, 0.16104398110513674)","(325, 0.0)"
"(320, 0.07152440360987308)","(326, 0.0)","(326, 0.0)","(247, 0.13991663262464024)","(326, 0.0)","(199, 0.06411723732208706)","(516, 0.10246470996303123)","(326, 0.0)","(275, 0.1085156375171222)","(647, 0.17663541029196994)","(126, 0.10856424393430388)","(32, 0.19076096981268448)","(326, 0.0)","(326, 0.0)","(127, 0.11089601815373627)","(299, 0.1092268025223297)","(224, 0.1113209989674157)","(326, 0.0)","(143, 0.16040505181774292)","(326, 0.0)"
"(647, 0.07049016863048972)","(327, 0.0)","(327, 0.0)","(578, 0.13953331723148363)","(327, 0.0)","(170, 0.06407741975597048)","(532, 0.1008230811566267)","(327, 0.0)","(576, 0.10844162404186593)","(142, 0.17468138727631038)","(237, 0.107668844553584)","(569, 0.18934681854685545)","(327, 0.0)","(327, 0.0)","(608, 0.1106055587858723)","(30, 0.10918897956656935)","(561, 0.11091666421734644)","(327, 0.0)","(92, 0.1601231028214529)","(327, 0.0)"
"(540, 0.07036364777084542)","(328, 0.0)","(328, 0.0)","(530, 0.13898967844454682)","(328, 0.0)","(472, 0.06342456439708563)","(28, 0.1004259327962429)","(328, 0.0)","(47, 0.10838500727999739)","(579, 0.17277105745175902)","(207, 0.10743743320996328)","(523, 0.1880162055967097)","(328, 0.0)","(328, 0.0)","(465, 0.11036833980748863)","(297, 0.10913281484388976)","(634, 0.11071681617403266)","(328, 0.0)","(680, 0.1594986860073631)","(328, 0.0)"
"(663, 0.07024469045355862)","(33, 0.0)","(33, 0.0)","(588, 0.1384480243757824)","(33, 0.0)","(577, 0.06304290834719638)","(641, 0.10006710821735851)","(33, 0.0)","(17, 0.10837563165185371)","(200, 0.1718849493193114)","(415, 0.10736326109298718)","(531, 0.1866313555815138)","(33, 0.0)","(33, 0.0)","(616, 0.10943215014059733)","(442, 0.10868969128703164)","(391, 0.11069429577302445)","(33, 0.0)","(312, 0.15924047885448875)","(33, 0.0)"
"(418, 0.07000301832702718)","(330, 0.0)","(330, 0.0)","(478, 0.13842924221842168)","(330, 0.0)","(425, 0.0630386404696034)","(620, 0.09977362166777734)","(330, 0.0)","(500, 0.10803791702497342)","(607, 0.17022802017785832)","(426, 0.10712535523752728)","(442, 0.18563879873007982)","(330, 0.0)","(330, 0.0)","(104, 0.10749107141978019)","(275, 0.10860650786731509)","(98, 0.11043100342237694)","(330, 0.0)","(187, 0.15906777374450717)","(330, 0.0)"
"(473, 0.06999614438764615)","(331, 0.0)","(331, 0.0)","(250, 0.13819133797728764)","(331, 0.0)","(604, 0.0627944254807855)","(586, 0.09878006936255049)","(331, 0.0)","(664, 0.10790067341747726)","(253, 0.17003345308705245)","(520, 0.10700241890634565)","(34, 0.1855197887620609)","(331, 0.0)","(331, 0.0)","(542, 0.10675184589006563)","(115, 0.10824568670602565)","(500, 0.11001866945465348)","(331, 0.0)","(422, 0.1588338612862517)","(331, 0.0)"
"(679, 0.06986403806961423)","(34, 0.0)","(34, 0.0)","(579, 0.13807147465883624)","(34, 0.0)","(598, 0.06254181721378664)","(112, 0.09818936692999077)","(34, 0.0)","(560, 0.10773985591586142)","(656, 0.16936608776129836)","(234, 0.10658752750994284)","(320, 0.1852135358293012)","(34, 0.0)","(34, 0.0)","(150, 0.10662590908471828)","(53, 0.10780282052974657)","(470, 0.10933461125001227)","(34, 0.0)","(198, 0.15871621133964026)","(34, 0.0)"
"(219, 0.06976264520562674)","(37, 0.0)","(37, 0.0)","(462, 0.13735141573717655)","(37, 0.0)","(226, 0.062198776215569074)","(132, 0.09795930555456313)","(37, 0.0)","(609, 0.10763070227430813)","(112, 0.16926338249071524)","(502, 0.10649413171216428)","(425, 0.18513768682371812)","(37, 0.0)","(37, 0.0)","(200, 0.106620395462217)","(233, 0.10747293547254806)","(144, 0.10930341910137209)","(37, 0.0)","(520, 0.15863290606000643)","(37, 0.0)"
"(62, 0.0696473599376806)","(38, 0.0)","(38, 0.0)","(92, 0.1372266955414601)","(38, 0.0)","(78, 0.062154900199932465)","(635, 0.09741017539613034)","(38, 0.0)","(504, 0.10760398635516163)","(458, 0.16917112825731612)","(247, 0.10628110992984127)","(415, 0.18495629985493178)","(38, 0.0)","(38, 0.0)","(270, 0.10658340861178627)","(102, 0.10728736435106243)","(71, 0.10910539487146767)","(38, 0.0)","(578, 0.15798213257566263)","(38, 0.0)"
"(629, 0.06938564907725847)","(383, 0.0)","(383, 0.0)","(65, 0.13695342941054783)","(383, 0.0)","(464, 0.062106413314242916)","(657, 0.09679255096427837)","(383, 0.0)","(299, 0.10687000060450996)","(32, 0.168736359104359)","(646, 0.10570369518800168)","(485, 0.18414473195172998)","(383, 0.0)","(383, 0.0)","(576, 0.10646010421506878)","(101, 0.1072383606172071)","(523, 0.10877870211836539)","(383, 0.0)","(66, 0.15747461404561802)","(383, 0.0)"
"(113, 0.0691622427824526)","(384, 0.0)","(384, 0.0)","(72, 0.13682207131539553)","(384, 0.0)","(655, 0.061725032913430025)","(406, 0.09627630236630483)","(384, 0.0)","(325, 0.10657980516531441)","(217, 0.16829545860174946)","(122, 0.10569219034833584)","(589, 0.1840345115189294)","(384, 0.0)","(384, 0.0)","(593, 0.10586287906141029)","(142, 0.10708947452342878)","(520, 0.10865543254407013)","(384, 0.0)","(429, 0.1573911258983985)","(384, 0.0)"
"(470, 0.06915225373644122)","(385, 0.0)","(385, 0.0)","(394, 0.13564113404051475)","(385, 0.0)","(393, 0.06124951567359878)","(664, 0.09500421916479178)","(385, 0.0)","(115, 0.10656150186193107)","(93, 0.16828902907860768)","(40, 0.1055028504231408)","(546, 0.18391808185561587)","(385, 0.0)","(385, 0.0)","(660, 0.10553027643432561)","(664, 0.10701470823226096)","(226, 0.10847340967549851)","(385, 0.0)","(470, 0.15738321367115807)","(385, 0.0)"
"(392, 0.06890046947492254)","(386, 0.0)","(386, 0.0)","(169, 0.13556391915070534)","(386, 0.0)","(392, 0.061177924797796275)","(609, 0.09474443396561262)","(386, 0.0)","(442, 0.10637209985225896)","(635, 0.16804704711246293)","(523, 0.10530851853319886)","(277, 0.18261114074401033)","(386, 0.0)","(386, 0.0)","(216, 0.10545621535502936)","(180, 0.1069902155287362)","(578, 0.10814095187024388)","(386, 0.0)","(637, 0.15737204123752016)","(386, 0.0)"
"(178, 0.06889154792752165)","(387, 0.0)","(387, 0.0)","(28, 0.13418886141389083)","(387, 0.0)","(76, 0.06106758954575848)","(140, 0.09450607667098451)","(387, 0.0)","(536, 0.10580611434709031)","(477, 0.16732886861680846)","(50, 0.1051358960730866)","(327, 0.18256987350901346)","(387, 0.0)","(387, 0.0)","(2, 0.10543815336198593)","(575, 0.10664694812703167)","(318, 0.10784899681393571)","(387, 0.0)","(575, 0.1555377789718847)","(387, 0.0)"
"(149, 0.06874639784706388)","(388, 0.0)","(388, 0.0)","(452, 0.13387688110507723)","(388, 0.0)","(302, 0.06097466875656663)","(389, 0.09438304045178472)","(388, 0.0)","(457, 0.10526224770380835)","(130, 0.16698890429926033)","(293, 0.10471639830025699)","(243, 0.18252313992029637)","(388, 0.0)","(388, 0.0)","(294, 0.10477321057531881)","(290, 0.10655651030265899)","(606, 0.10752962287035492)","(388, 0.0)","(652, 0.15543557146646778)","(388, 0.0)"
"(180, 0.06874264845670532)","(389, 0.0)","(389, 0.0)","(3, 0.1338694017631185)","(389, 0.0)","(208, 0.06097111072006175)","(157, 0.09395915590264982)","(389, 0.0)","(387, 0.105144466453299)","(668, 0.1667306014173524)","(671, 0.1046924374193776)","(406, 0.1824203928473901)","(389, 0.0)","(389, 0.0)","(153, 0.10404357464488016)","(17, 0.10638005240090954)","(418, 0.10706442202486027)","(389, 0.0)","(133, 0.15481243055093247)","(389, 0.0)"
"(237, 0.06851725538053936)","(39, 0.0)","(39, 0.0)","(131, 0.13278337294262574)","(39, 0.0)","(217, 0.060922411138601515)","(325, 0.09393364661690405)","(39, 0.0)","(575, 0.10483061445780026)","(446, 0.16537486363302775)","(133, 0.1045624180683817)","(318, 0.1823466704800305)","(39, 0.0)","(39, 0.0)","(307, 0.1040037730985431)","(609, 0.10625571367114228)","(208, 0.10687918614898792)","(39, 0.0)","(120, 0.15472045006641197)","(39, 0.0)"
"(625, 0.06800554440493006)","(390, 0.0)","(390, 0.0)","(477, 0.1327553060999198)","(390, 0.0)","(169, 0.060605786386564726)","(194, 0.09349408150190178)","(390, 0.0)","(297, 0.10457078285908605)","(203, 0.1651951211638454)","(297, 0.10445599758046632)","(114, 0.18169031003631603)","(390, 0.0)","(390, 0.0)","(504, 0.10363966100292986)","(318, 0.10618376194767738)","(290, 0.10680547411591584)","(390, 0.0)","(220, 0.1545306591528922)","(390, 0.0)"
"(57, 0.06776749962905966)","(391, 0.0)","(391, 0.0)","(149, 0.13252001363980684)","(391, 0.0)","(149, 0.06047835624225156)","(217, 0.09321869592411705)","(391, 0.0)","(233, 0.10452983624424095)","(481, 0.16434030744064787)","(231, 0.10395002212019254)","(666, 0.18000452322339747)","(391, 0.0)","(391, 0.0)","(579, 0.10358222661369923)","(573, 0.10602980840558958)","(194, 0.1062470991209449)","(391, 0.0)","(391, 0.15385374591206058)","(391, 0.0)"
"(30, 0.06770229001923232)","(392, 0.0)","(392, 0.0)","(329, 0.13180818129714325)","(392, 0.0)","(123, 0.06034239165372819)","(21, 0.09298021276641458)","(392, 0.0)","(15, 0.10367373411768395)","(621, 0.16361654449448385)","(100, 0.10378721363278177)","(52, 0.1794809657999712)","(392, 0.0)","(392, 0.0)","(592, 0.10304396398880526)","(325, 0.10596171188272126)","(17, 0.10574698733177679)","(392, 0.0)","(414, 0.15355719692775088)","(392, 0.0)"
"(601, 0.06745557777579071)","(393, 0.0)","(393, 0.0)","(94, 0.1307905679899939)","(393, 0.0)","(39, 0.06031917427615728)","(509, 0.0927180789625838)","(393, 0.0)","(102, 0.1035625981481892)","(574, 0.16329152621876503)","(494, 0.10347272999936626)","(537, 0.17891525728198543)","(393, 0.0)","(393, 0.0)","(415, 0.10210987849479446)","(582, 0.10591790777060697)","(88, 0.10559515683841178)","(393, 0.0)","(535, 0.15332992508505233)","(393, 0.0)"
"(26, 0.06743101237972106)","(394, 0.0)","(394, 0.0)","(158, 0.13060383411174092)","(394, 0.0)","(222, 0.060013692840817014)","(39, 0.09251516937977039)","(394, 0.0)","(187, 0.10352642757246476)","(407, 0.16296234152804676)","(143, 0.10335723960378174)","(631, 0.17806181883522268)","(394, 0.0)","(394, 0.0)","(417, 0.10158065042593473)","(80, 0.10583772214368446)","(29, 0.10558488899189271)","(394, 0.0)","(295, 0.15299978697967637)","(394, 0.0)"
"(489, 0.06704544814684132)","(395, 0.0)","(395, 0.0)","(153, 0.13051614702515185)","(395, 0.0)","(36, 0.059952409613078385)","(601, 0.09184594026504016)","(395, 0.0)","(494, 0.10346877897337799)","(529, 0.16287528232836107)","(397, 0.10324086535493408)","(7, 0.1780131091518692)","(395, 0.0)","(395, 0.0)","(426, 0.10152327871863451)","(652, 0.10581825392063289)","(66, 0.10531823498125692)","(395, 0.0)","(96, 0.152211308142233)","(395, 0.0)"
"(600, 0.06689765085587175)","(397, 0.0)","(397, 0.0)","(418, 0.13003500992898176)","(397, 0.0)","(391, 0.059930001123385035)","(187, 0.0914887032616121)","(397, 0.0)","(573, 0.10339342935661353)","(604, 0.16285159605099847)","(504, 0.10262592573106658)","(417, 0.17791728062297618)","(397, 0.0)","(397, 0.0)","(489, 0.1010576309574991)","(187, 0.10569596088694176)","(577, 0.10461779551976219)","(397, 0.0)","(634, 0.15180675260629486)","(397, 0.0)"
"(630, 0.06651899883420964)","(398, 0.0)","(398, 0.0)","(414, 0.12992098131315125)","(398, 0.0)","(247, 0.05970033849687675)","(247, 0.09134877657603178)","(398, 0.0)","(194, 0.10317565838255528)","(502, 0.16258197011374262)","(127, 0.10150774348802503)","(474, 0.17780778261300098)","(398, 0.0)","(398, 0.0)","(37, 0.10059818929914369)","(10, 0.10531850386121158)","(220, 0.1045132542158974)","(398, 0.0)","(130, 0.15153076708282906)","(398, 0.0)"
"(606, 0.06648967950697945)","(399, 0.0)","(399, 0.0)","(47, 0.12943757600155953)","(399, 0.0)","(422, 0.05967483991657176)","(154, 0.09077466160091724)","(399, 0.0)","(174, 0.10287268572819863)","(666, 0.1619629838036561)","(320, 0.10121405372219301)","(20, 0.17762517279308865)","(399, 0.0)","(399, 0.0)","(395, 0.10059313373232588)","(88, 0.10471509672777948)","(393, 0.10447029805573517)","(399, 0.0)","(275, 0.14927126412558678)","(399, 0.0)"
"(318, 0.06630328783938377)","(4, 0.0)","(4, 0.0)","(571, 0.12933942762099493)","(4, 0.0)","(68, 0.05947839381856432)","(108, 0.09074503595093004)","(4, 0.0)","(516, 0.10264535105521011)","(412, 0.16151817638697122)","(116, 0.1008987029164181)","(309, 0.17720525959281108)","(4, 0.0)","(4, 0.0)","(624, 0.10056878266320103)","(644, 0.10470656965445138)","(529, 0.10440333874625439)","(4, 0.0)","(37, 0.1490050060599622)","(4, 0.0)"
"(121, 0.06566707388448073)","(40, 0.0)","(40, 0.0)","(140, 0.12848662681091183)","(40, 0.0)","(2, 0.059433300382118845)","(545, 0.09010898104758237)","(40, 0.0)","(142, 0.10257980401344287)","(423, 0.1611075788764761)","(274, 0.10069770953342037)","(536, 0.17717323635003043)","(40, 0.0)","(40, 0.0)","(577, 0.09924630589348743)","(509, 0.10468935429986924)","(579, 0.10426214201672183)","(40, 0.0)","(533, 0.14634775847795642)","(40, 0.0)"
"(582, 0.06545075833236941)","(400, 0.0)","(400, 0.0)","(206, 0.12831114074693187)","(400, 0.0)","(190, 0.05939183032325772)","(610, 0.08998385830080688)","(400, 0.0)","(318, 0.10249870988893808)","(25, 0.16007146684667115)","(654, 0.10011841465756102)","(198, 0.177070562249172)","(400, 0.0)","(400, 0.0)","(485, 0.09898758314932114)","(391, 0.10462962100839286)","(2, 0.1042010792973358)","(400, 0.0)","(477, 0.14574620304286862)","(400, 0.0)"
"(273, 0.06526611444045752)","(401, 0.0)","(401, 0.0)","(24, 0.1280166360739423)","(401, 0.0)","(429, 0.05875506338982688)","(330, 0.08945557866482073)","(401, 0.0)","(157, 0.1011939085692672)","(615, 0.1591073808340904)","(97, 0.09992766028569942)","(165, 0.1768344452784069)","(401, 0.0)","(401, 0.0)","(47, 0.09771783681318133)","(459, 0.10448589965354692)","(637, 0.10385756932913444)","(401, 0.0)","(3, 0.14574481745337378)","(401, 0.0)"
"(393, 0.06499336470294509)","(402, 0.0)","(402, 0.0)","(460, 0.1276925665577072)","(402, 0.0)","(115, 0.058059529117497746)","(95, 0.08918100080445787)","(402, 0.0)","(413, 0.10115061569137801)","(144, 0.1586736907784506)","(480, 0.09965425103460887)","(633, 0.17670322608303146)","(402, 0.0)","(402, 0.0)","(609, 0.0968643110497406)","(194, 0.10426326150921204)","(23, 0.10332923364214211)","(402, 0.0)","(620, 0.1446834295534556)","(402, 0.0)"
"(506, 0.06496119109082944)","(406, 0.0)","(406, 0.0)","(50, 0.1276380212625472)","(406, 0.0)","(206, 0.05802943588926683)","(530, 0.0889354201120688)","(406, 0.0)","(644, 0.10097333252177182)","(43, 0.15861655164621916)","(110, 0.09935491042224218)","(200, 0.17628405771696662)","(406, 0.0)","(406, 0.0)","(429, 0.09670671956542905)","(245, 0.10405852857244807)","(509, 0.10296992963197378)","(406, 0.0)","(569, 0.1446674780519441)","(406, 0.0)"
"(208, 0.06480053240880948)","(407, 0.0)","(407, 0.0)","(487, 0.12693639577283194)","(407, 0.0)","(127, 0.057996424110990034)","(672, 0.0886241124524337)","(407, 0.0)","(530, 0.10094182427187277)","(308, 0.1572680671694662)","(534, 0.09875729575440516)","(142, 0.17595142304845948)","(407, 0.0)","(407, 0.0)","(263, 0.0964911584989689)","(387, 0.10345129664159242)","(621, 0.10294525910155575)","(407, 0.0)","(141, 0.14432225048633168)","(407, 0.0)"
"(247, 0.06442508431944517)","(41, 0.0)","(41, 0.0)","(650, 0.12598550126164262)","(41, 0.0)","(671, 0.0565009843126139)","(439, 0.08757327353036734)","(41, 0.0)","(444, 0.10082769438632923)","(575, 0.1567250616601556)","(666, 0.09871428027855164)","(331, 0.17591647400911253)","(41, 0.0)","(41, 0.0)","(25, 0.09631172654308166)","(157, 0.10330511324241576)","(28, 0.1028623025761151)","(41, 0.0)","(28, 0.14406935868550544)","(41, 0.0)"
"(70, 0.0643046724328279)","(410, 0.0)","(410, 0.0)","(52, 0.12442730018369329)","(410, 0.0)","(126, 0.056359889892838584)","(568, 0.08737380510799245)","(410, 0.0)","(641, 0.10059817490895542)","(81, 0.15671241919427026)","(639, 0.09840726662328507)","(85, 0.1752654702172165)","(410, 0.0)","(410, 0.0)","(464, 0.09625891663311358)","(234, 0.10307821728178468)","(392, 0.10274203057422443)","(410, 0.0)","(157, 0.14321175345716672)","(410, 0.0)"
"(552, 0.0642681494323078)","(412, 0.0)","(412, 0.0)","(21, 0.12426637901902657)","(412, 0.0)","(478, 0.05631820261356119)","(184, 0.08591503715341203)","(412, 0.0)","(617, 0.10008833897587752)","(229, 0.1567017556061698)","(394, 0.09835105696152562)","(458, 0.17520297011338573)","(412, 0.0)","(412, 0.0)","(277, 0.09597638068976949)","(175, 0.10305016925813587)","(176, 0.10261194316603298)","(412, 0.0)","(673, 0.1426048913256999)","(412, 0.0)"
"(162, 0.06403367311191678)","(413, 0.0)","(413, 0.0)","(229, 0.12397702313715864)","(413, 0.0)","(54, 0.056226034319539334)","(7, 0.08588354880506831)","(413, 0.0)","(595, 0.0994214431057168)","(639, 0.15644641719254718)","(549, 0.09702274844409348)","(676, 0.174194039092657)","(413, 0.0)","(413, 0.0)","(623, 0.09564193468233902)","(516, 0.10174591889621362)","(247, 0.10223107705417851)","(413, 0.0)","(158, 0.14211867146609627)","(413, 0.0)"
"(543, 0.06395192443090061)","(414, 0.0)","(414, 0.0)","(309, 0.12316315393632066)","(414, 0.0)","(293, 0.05605511874861944)","(69, 0.08527282439273406)","(414, 0.0)","(101, 0.09925141062321839)","(183, 0.15602605165043282)","(442, 0.09700539014132004)","(278, 0.17341105540371807)","(414, 0.0)","(414, 0.0)","(126, 0.09555883651430433)","(617, 0.10119270376575408)","(138, 0.10219195066687439)","(414, 0.0)","(70, 0.14175220437511432)","(414, 0.0)"
"(412, 0.06379903363509093)","(415, 0.0)","(415, 0.0)","(640, 0.12235470037392358)","(415, 0.0)","(611, 0.055776398750540836)","(500, 0.08391178010106208)","(415, 0.0)","(620, 0.09888112495987283)","(673, 0.15524891473080255)","(447, 0.09675780411527168)","(447, 0.1733870069731671)","(415, 0.0)","(415, 0.0)","(88, 0.09519803636878672)","(55, 0.1011119931729208)","(639, 0.10191229314579119)","(415, 0.0)","(94, 0.14173885490891364)","(415, 0.0)"
"(309, 0.06379321153364263)","(416, 0.0)","(416, 0.0)","(605, 0.1215737313971718)","(416, 0.0)","(204, 0.0556641766246292)","(138, 0.08364893326497341)","(416, 0.0)","(7, 0.09815972131811207)","(317, 0.15507633143129268)","(185, 0.09663075876771438)","(614, 0.17271159822360538)","(416, 0.0)","(416, 0.0)","(204, 0.09444728410789023)","(495, 0.1010418280460967)","(107, 0.1016079682311669)","(416, 0.0)","(24, 0.14163796408272056)","(416, 0.0)"
"(306, 0.06356772216100845)","(417, 0.0)","(417, 0.0)","(615, 0.12156129655388657)","(417, 0.0)","(444, 0.05563994959904756)","(52, 0.08354377969114311)","(417, 0.0)","(175, 0.09809692537138236)","(85, 0.15499632274185413)","(169, 0.09623003775568396)","(667, 0.1719251396928111)","(417, 0.0)","(417, 0.0)","(510, 0.09440191927995702)","(530, 0.10035751826832194)","(322, 0.10132334569785642)","(417, 0.0)","(47, 0.14128054458709288)","(417, 0.0)"
"(36, 0.06345343181232195)","(42, 0.0)","(42, 0.0)","(544, 0.12140706218312056)","(42, 0.0)","(397, 0.05547851332817639)","(30, 0.08335569916510636)","(42, 0.0)","(88, 0.09800593803906882)","(482, 0.1548192262078872)","(545, 0.0959787443353246)","(423, 0.17157232422302332)","(42, 0.0)","(42, 0.0)","(630, 0.09321564265279547)","(593, 0.10023925418597306)","(96, 0.10096628079614813)","(42, 0.0)","(128, 0.13959559026130597)","(42, 0.0)"
"(68, 0.06336142966509259)","(420, 0.0)","(420, 0.0)","(61, 0.12102937833886107)","(420, 0.0)","(491, 0.05524086994227546)","(58, 0.08331821766971649)","(420, 0.0)","(224, 0.09792404232316075)","(132, 0.1546314123386859)","(598, 0.0956768312271125)","(302, 0.1715037822804946)","(420, 0.0)","(420, 0.0)","(537, 0.09316519086999048)","(224, 0.1000832664952376)","(108, 0.10090817996250138)","(420, 0.0)","(50, 0.13957531637381848)","(420, 0.0)"
"(212, 0.06336056588601656)","(421, 0.0)","(421, 0.0)","(150, 0.11918938455481626)","(421, 0.0)","(555, 0.05519528776444369)","(14, 0.08327309972115542)","(421, 0.0)","(178, 0.09782698311664578)","(278, 0.15283451865256686)","(469, 0.09540185991972697)","(518, 0.171187679468929)","(421, 0.0)","(421, 0.0)","(481, 0.09200684023490319)","(174, 0.10007891908124252)","(629, 0.10080578147939705)","(421, 0.0)","(140, 0.1394850556591172)","(421, 0.0)"
"(422, 0.06328928681922322)","(422, 0.0)","(422, 0.0)","(16, 0.11851053147333285)","(422, 0.0)","(158, 0.0545660261181302)","(299, 0.08321021174347744)","(422, 0.0)","(671, 0.09766587400563062)","(329, 0.15190309538187557)","(640, 0.09473109681122362)","(384, 0.16920147761592025)","(422, 0.0)","(422, 0.0)","(167, 0.0911662460438978)","(155, 0.09936551918852468)","(59, 0.10022823407458949)","(422, 0.0)","(561, 0.13937141377806841)","(422, 0.0)"
"(184, 0.06308578924097719)","(423, 0.0)","(423, 0.0)","(438, 0.11849075686794959)","(423, 0.0)","(662, 0.054455689966099105)","(475, 0.08306558098372098)","(423, 0.0)","(459, 0.09760135486315717)","(500, 0.1506426576064166)","(17, 0.09429075643462928)","(50, 0.1690381865441629)","(423, 0.0)","(423, 0.0)","(151, 0.09049446561031631)","(494, 0.09906818276607385)","(294, 0.1001499600980886)","(423, 0.0)","(529, 0.13923433634609314)","(423, 0.0)"
"(108, 0.06218647260684067)","(424, 0.0)","(424, 0.0)","(145, 0.11717006712630605)","(424, 0.0)","(661, 0.054177180569831965)","(429, 0.08303915769350012)","(424, 0.0)","(495, 0.09753288078209837)","(176, 0.15048596469601347)","(90, 0.09403529929529093)","(208, 0.16883506117516445)","(424, 0.0)","(424, 0.0)","(329, 0.0903171228333803)","(620, 0.09895478514147599)","(234, 0.09964230273109241)","(424, 0.0)","(278, 0.13920160173444704)","(424, 0.0)"
"(234, 0.06218068929822603)","(425, 0.0)","(425, 0.0)","(195, 0.1167899568466265)","(425, 0.0)","(534, 0.05411749355235004)","(185, 0.08268643460974484)","(425, 0.0)","(166, 0.09725895534362379)","(536, 0.14655830064262862)","(139, 0.09398057568309146)","(591, 0.16844617541247373)","(425, 0.0)","(425, 0.0)","(202, 0.09028538024806462)","(517, 0.09891894717827246)","(65, 0.09955513968609611)","(425, 0.0)","(25, 0.13746012231782184)","(425, 0.0)"
"(628, 0.06212575803448678)","(426, 0.0)","(426, 0.0)","(577, 0.11634318753257944)","(426, 0.0)","(43, 0.05402106192010264)","(272, 0.08262484490526993)","(426, 0.0)","(176, 0.09718697558291577)","(475, 0.14628323082189357)","(148, 0.09318258250918332)","(674, 0.16817473914389913)","(426, 0.0)","(426, 0.0)","(612, 0.08999189674631544)","(671, 0.09873007891751157)","(459, 0.09927388006754684)","(426, 0.0)","(80, 0.137311263575682)","(426, 0.0)"
"(231, 0.0617940170577625)","(427, 0.0)","(427, 0.0)","(499, 0.11620582463431033)","(427, 0.0)","(401, 0.05388428234340175)","(645, 0.08245736720960509)","(427, 0.0)","(155, 0.09601400474462347)","(3, 0.14573801609620782)","(128, 0.09284054718438574)","(317, 0.16817396702250728)","(427, 0.0)","(427, 0.0)","(672, 0.0898198897074493)","(300, 0.09871436234543608)","(596, 0.09911874634710924)","(427, 0.0)","(326, 0.1370828454646274)","(427, 0.0)"
