Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18,Topic-19,Topic-20
"(193, 0.19249890429508365)","(111, 0.048657247818761164)","(111, 0.048657247818761164)","(245, 0.2810565422149271)","(111, 0.048657247818761164)","(17, 0.16329167974949005)","(670, 0.2299185041458957)","(111, 0.048657247818761164)","(33, 0.2113394918498814)","(634, 0.3714807326988038)","(583, 0.2317233555569017)","(585, 0.3054434522548003)","(111, 0.048657247818761164)","(111, 0.048657247818761164)","(1, 0.22490041367490954)","(429, 0.21181589157077066)","(174, 0.2108530726830732)","(111, 0.048657247818761164)","(402, 0.30680387466801645)","(111, 0.048657247818761164)"
"(517, 0.18949358814340514)","(60, 0.04767655239456243)","(60, 0.04767655239456243)","(482, 0.2776965176891431)","(60, 0.04767655239456243)","(122, 0.1632049349901705)","(628, 0.22982313302771476)","(60, 0.04767655239456243)","(177, 0.20866734105962886)","(413, 0.3682902151551133)","(422, 0.23159087999594755)","(132, 0.3050860056205208)","(60, 0.04767655239456243)","(60, 0.04767655239456243)","(5, 0.22353380290719765)","(33, 0.2104215463742859)","(510, 0.20862495840885084)","(60, 0.04767655239456243)","(178, 0.3065093118106266)","(60, 0.04767655239456243)"
"(603, 0.18921757199447564)","(69, 0.0452336406766672)","(69, 0.0452336406766672)","(511, 0.27600148723964557)","(69, 0.0452336406766672)","(541, 0.16205706163998215)","(44, 0.22859425827106725)","(69, 0.0452336406766672)","(456, 0.20684382710672408)","(41, 0.3632926285320895)","(407, 0.22953439263845835)","(572, 0.30491428791757635)","(69, 0.0452336406766672)","(69, 0.0452336406766672)","(245, 0.22082660969612214)","(146, 0.2099944088617265)","(668, 0.20724829945083328)","(69, 0.0452336406766672)","(207, 0.3053108227918912)","(69, 0.0452336406766672)"
"(200, 0.18735458240110509)","(87, 0.0444356602002562)","(87, 0.0444356602002562)","(244, 0.2752539667937885)","(87, 0.0444356602002562)","(608, 0.16027616976081938)","(62, 0.22833019313208644)","(87, 0.0444356602002562)","(200, 0.2050163325920005)","(618, 0.36210440483038037)","(517, 0.22819236109643776)","(58, 0.30442289183780163)","(87, 0.0444356602002562)","(87, 0.0444356602002562)","(445, 0.21987191259033734)","(145, 0.20826297120017667)","(603, 0.20662804111459976)","(87, 0.0444356602002562)","(277, 0.3047895704956913)","(87, 0.0444356602002562)"
"(268, 0.1868346835108805)","(663, 0.043543386727890196)","(663, 0.043543386727890196)","(433, 0.2736619119837943)","(663, 0.043543386727890196)","(490, 0.15976594506272357)","(547, 0.22619842458701647)","(663, 0.043543386727890196)","(305, 0.20343818059020904)","(273, 0.3612212856741917)","(140, 0.2272832071022505)","(293, 0.30298521075893786)","(663, 0.043543386727890196)","(663, 0.043543386727890196)","(16, 0.21872757840424994)","(305, 0.20774628687890875)","(125, 0.20616943570899748)","(663, 0.043543386727890196)","(493, 0.30413772757014024)","(663, 0.043543386727890196)"
"(398, 0.1858939770915981)","(590, 0.043481011711714854)","(590, 0.043481011711714854)","(466, 0.27125073425142904)","(590, 0.043481011711714854)","(234, 0.1575303650539331)","(552, 0.22504155738932802)","(590, 0.043481011711714854)","(96, 0.20281246297170002)","(390, 0.35865904521439346)","(623, 0.22698991477343206)","(21, 0.30285900167733504)","(590, 0.043481011711714854)","(590, 0.043481011711714854)","(535, 0.2171650851239054)","(177, 0.20597892857327998)","(535, 0.20511163143140249)","(590, 0.043481011711714854)","(598, 0.3018925409922519)","(590, 0.043481011711714854)"
"(21, 0.18517878278204425)","(162, 0.04300523290777716)","(162, 0.04300523290777716)","(207, 0.27114921963229255)","(162, 0.04300523290777716)","(77, 0.15693166098108866)","(456, 0.22480768848000096)","(162, 0.04300523290777716)","(248, 0.20281200443994538)","(128, 0.35831377610389437)","(486, 0.22687013378326235)","(325, 0.30218513715533735)","(162, 0.04300523290777716)","(162, 0.04300523290777716)","(33, 0.21615167529592658)","(45, 0.20517223753824515)","(598, 0.20485979382606403)","(162, 0.04300523290777716)","(116, 0.30133748868563554)","(162, 0.04300523290777716)"
"(474, 0.1835557957647337)","(159, 0.04200164367301824)","(159, 0.04200164367301824)","(178, 0.27076386989286283)","(159, 0.04200164367301824)","(60, 0.15556325795003914)","(113, 0.22437651180894044)","(159, 0.04200164367301824)","(145, 0.2019842113490345)","(480, 0.35709642693434945)","(34, 0.22657797904004226)","(310, 0.29988468119238204)","(159, 0.04200164367301824)","(159, 0.04200164367301824)","(677, 0.21603852963445158)","(248, 0.20512243454410792)","(632, 0.20403093246937162)","(159, 0.04200164367301824)","(457, 0.30096556916980005)","(159, 0.04200164367301824)"
"(313, 0.18250380744857303)","(272, 0.041346240499238456)","(272, 0.041346240499238456)","(200, 0.2692446130184693)","(272, 0.041346240499238456)","(418, 0.15541506637568156)","(522, 0.2239443373096607)","(272, 0.041346240499238456)","(445, 0.2000650517945083)","(170, 0.3564649882556974)","(35, 0.22654715060393377)","(127, 0.2998584820324242)","(272, 0.041346240499238456)","(272, 0.041346240499238456)","(149, 0.21555930456864728)","(456, 0.203556019104881)","(486, 0.20344632923027536)","(272, 0.041346240499238456)","(193, 0.3002737471717107)","(272, 0.041346240499238456)"
"(157, 0.17575110354101706)","(36, 0.03962349935744634)","(36, 0.03962349935744634)","(676, 0.2660332317123471)","(36, 0.03962349935744634)","(516, 0.15474860004305838)","(215, 0.22182686518740957)","(36, 0.03962349935744634)","(402, 0.19896160667645588)","(613, 0.35445662100110503)","(585, 0.22612269610113497)","(65, 0.2987382416111928)","(36, 0.03962349935744634)","(36, 0.03962349935744634)","(438, 0.21526622519517355)","(412, 0.20242431351880905)","(533, 0.20323725471345122)","(36, 0.03962349935744634)","(142, 0.29644239908634157)","(36, 0.03962349935744634)"
"(662, 0.17574335574349773)","(138, 0.03877756209638798)","(138, 0.03877756209638798)","(607, 0.2654973809571034)","(138, 0.03877756209638798)","(467, 0.15446215757288909)","(177, 0.22134646358284463)","(138, 0.03877756209638798)","(72, 0.19818592766680684)","(310, 0.3537815330687266)","(125, 0.22360271983349073)","(276, 0.29799651182738995)","(138, 0.03877756209638798)","(138, 0.03877756209638798)","(11, 0.21476142718645286)","(295, 0.20206026672636862)","(313, 0.20099961069126726)","(138, 0.03877756209638798)","(19, 0.29591181170015796)","(138, 0.03877756209638798)"
