Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(671, 0.13018579839051642)","(578, 0.10075187048192843)","(475, 0.11398747068156564)","(243, 0.08606853757377332)","(30, 0.04249772385559944)","(276, 0.04028599472692462)","(470, 0.044927346864091576)","(639, 0.07809300612346291)","(671, 0.06664785375527962)","(14, 0.06673119027207332)","(575, 0.07546796416875266)"
"(466, 0.1264037968324306)","(634, 0.09958912743545167)","(627, 0.11337594549637196)","(194, 0.08579893572075188)","(76, 0.04165983690427504)","(135, 0.039649091795744815)","(137, 0.04423638588859163)","(510, 0.07773629072950139)","(593, 0.06580368672491367)","(646, 0.06649254326980496)","(574, 0.07546796416875262)"
"(95, 0.12531889979791744)","(488, 0.09871653538729884)","(123, 0.11145007083022479)","(17, 0.08519437423331815)","(33, 0.040971185110687695)","(537, 0.039400819387083355)","(102, 0.04418698321107689)","(470, 0.07759802991501269)","(596, 0.06532796357971066)","(428, 0.06638985202200633)","(67, 0.07520470043416203)"
"(326, 0.12516011735863872)","(298, 0.09798342748306027)","(604, 0.11127971358418803)","(277, 0.08492195604636088)","(256, 0.040633477151064544)","(558, 0.03933062003762162)","(651, 0.043929471298807504)","(547, 0.07741639972337974)","(406, 0.06490440767571319)","(518, 0.06511477539620031)","(226, 0.07422234584276169)"
"(137, 0.12504438442559276)","(433, 0.09758700530078701)","(542, 0.11127971358418795)","(516, 0.08444656866098657)","(94, 0.03988914717269625)","(89, 0.03925078398940441)","(530, 0.04367406523128412)","(447, 0.07562402708122404)","(101, 0.06472846422728316)","(155, 0.06508426621609442)","(623, 0.07351237496903631)"
"(560, 0.12448143261230783)","(129, 0.0974904291451804)","(51, 0.11093783961624702)","(226, 0.08428239157862855)","(307, 0.039547537460861565)","(105, 0.03909904925935485)","(115, 0.043115312175414144)","(294, 0.07430703838270468)","(560, 0.06372753724723597)","(22, 0.06506701111520385)","(68, 0.07296535124619291)"
"(499, 0.1238928646218982)","(472, 0.09616425450816647)","(39, 0.10927871550299834)","(188, 0.08401746658706935)","(129, 0.03937688831532785)","(9, 0.03882137423509595)","(420, 0.04227773150006208)","(285, 0.07419930173312837)","(499, 0.06342622332640267)","(415, 0.06461913686202532)","(548, 0.07248210913886947)"
"(550, 0.12331256698383646)","(418, 0.09616425450816646)","(577, 0.10884072289676035)","(39, 0.08373761368614342)","(509, 0.038732502479062014)","(518, 0.03858834409866125)","(87, 0.04170574298773408)","(256, 0.07275329638840335)","(447, 0.06331284853481008)","(95, 0.06461357694208893)","(413, 0.07216490811727892)"
"(520, 0.1224885724706071)","(641, 0.09616425450816642)","(122, 0.10842371159905907)","(166, 0.08372724994582491)","(228, 0.0386057930202792)","(10, 0.038419362273018315)","(321, 0.0414328562428879)","(1, 0.07208398778774885)","(155, 0.06331100425433489)","(638, 0.06440761702490784)","(59, 0.07182574679373085)"
"(23, 0.12098944867692285)","(112, 0.09599252126092318)","(162, 0.10823263115953577)","(11, 0.08315982532851811)","(384, 0.03856683507626672)","(463, 0.038086923668500014)","(125, 0.04066435614129998)","(70, 0.071138207379608)","(273, 0.06240789715695204)","(222, 0.06393919177525774)","(52, 0.07096219948110394)"
"(28, 0.1199941311930411)","(31, 0.09567734376174025)","(591, 0.10812105510567524)","(519, 0.08261451290785668)","(476, 0.038340814445960665)","(643, 0.038058060571483136)","(53, 0.04063994043442076)","(552, 0.07091000837328494)","(511, 0.06228330270930697)","(568, 0.06221011764902765)","(593, 0.07050879017231525)"
"(446, 0.11981753929280227)","(521, 0.09567734376174014)","(242, 0.1079970058930522)","(197, 0.08258552027214826)","(7, 0.03824082552016442)","(138, 0.038033228228959375)","(573, 0.04063994043442074)","(240, 0.07078162264099551)","(612, 0.06144198197039786)","(389, 0.06164500894564522)","(672, 0.07043658638150345)"
"(116, 0.11881021383268119)","(529, 0.09552253534682947)","(233, 0.10769722493085442)","(103, 0.0825600643909324)","(146, 0.03818633721988656)","(475, 0.03754216059717234)","(120, 0.04019874869948403)","(195, 0.07078162264099544)","(28, 0.06143028967918684)","(144, 0.06164122912041793)","(561, 0.07025685115113431)"
"(110, 0.11820341737735353)","(310, 0.09519775505866293)","(220, 0.10702266976739788)","(5, 0.08236078606020143)","(74, 0.03697338710180949)","(121, 0.03750027481770524)","(635, 0.04014447188323676)","(493, 0.07065912714814572)","(20, 0.060967886578241495)","(69, 0.06054285390516882)","(438, 0.0698619437040871)"
"(545, 0.11783053003450185)","(74, 0.09464990683584079)","(448, 0.1051373783544621)","(24, 0.08151294571498492)","(127, 0.03520850061573993)","(55, 0.03745868357618461)","(256, 0.03994379267860393)","(93, 0.0703271420078572)","(185, 0.060967519410665916)","(248, 0.06043988225869492)","(516, 0.06855599782792841)"
"(429, 0.11783053003450182)","(580, 0.09444151200469607)","(109, 0.104121042948032)","(452, 0.08113363880914984)","(300, 0.03315627782427714)","(578, 0.037458683576184586)","(528, 0.039740999614105196)","(198, 0.069501045338624)","(40, 0.06063072904873253)","(35, 0.0603416080929627)","(112, 0.06774494996858402)"
"(471, 0.11775459398638068)","(32, 0.09406139066838877)","(85, 0.10251739192610072)","(460, 0.08062047625705933)","(677, 0.028635571623861926)","(49, 0.03739296496602152)","(328, 0.03971618475085884)","(7, 0.06923015057344653)","(110, 0.06051354427391998)","(459, 0.0599805477544021)","(538, 0.06764828072394688)"
"(142, 0.11713746722482792)","(468, 0.09385536880781153)","(228, 0.09912447092082116)","(387, 0.08013615255742056)","(34, 0.028096007912248727)","(234, 0.03682413784756412)","(168, 0.039478679918243824)","(392, 0.06866826035327879)","(620, 0.05958350228292217)","(639, 0.05937364633014557)","(547, 0.06716184667216259)"
"(306, 0.11477058250361843)","(68, 0.093778512050585)","(97, 0.0983103087381898)","(563, 0.07998920489607893)","(21, 0.026818735964188406)","(123, 0.03670645933852791)","(400, 0.039063271484364545)","(146, 0.0683717492209042)","(306, 0.05875612465166273)","(447, 0.05927596506694618)","(103, 0.06672570022262202)"
"(32, 0.11386948950401979)","(601, 0.09359941216977062)","(460, 0.09773386740585294)","(472, 0.07970596729566984)","(151, 0.026518301687934866)","(591, 0.03658772263196552)","(637, 0.0389955120725799)","(242, 0.06828245660560142)","(135, 0.05839711687803084)","(25, 0.0586522613973872)","(1, 0.06597386031910239)"
"(580, 0.11256964761029735)","(37, 0.09355561539418121)","(619, 0.09659958911079934)","(398, 0.07932114413369479)","(535, 0.025672545822455144)","(319, 0.03650979342180127)","(504, 0.03898316904459091)","(112, 0.06802458292786977)","(489, 0.058385038617448315)","(657, 0.058563056385460936)","(145, 0.06588211109383384)"
"(312, 0.11104982916034292)","(292, 0.09191660249361247)","(675, 0.09633348560567809)","(174, 0.078984322467214)","(550, 0.02424871847404889)","(150, 0.036436178157248325)","(593, 0.03871840901680667)","(498, 0.06781186158110042)","(459, 0.05834633982732432)","(4, 0.05848503876291529)","(452, 0.06586647218671043)"
"(504, 0.11019495101648526)","(153, 0.09191660249361246)","(503, 0.09548208253478122)","(644, 0.07856926797866522)","(23, 0.02418324752783933)","(66, 0.03595345818373799)","(413, 0.03859776784794762)","(276, 0.06774428758967609)","(558, 0.05792805613441329)","(520, 0.058359648754825515)","(389, 0.06546216565411961)"
"(200, 0.10830334606560586)","(504, 0.09177418742589066)","(407, 0.09442396810065133)","(98, 0.07816798039960382)","(634, 0.021620081867762063)","(296, 0.03590614569905059)","(11, 0.038240794708447455)","(489, 0.06636452721214055)","(639, 0.05775597381589089)","(549, 0.05793312133473479)","(108, 0.06482429651561994)"
"(61, 0.10726896456506108)","(330, 0.09162396834728331)","(385, 0.09383929394592352)","(293, 0.07802364787010153)","(672, 0.018429612933521536)","(479, 0.03577805725496578)","(671, 0.03824079470844737)","(134, 0.0662010662215572)","(485, 0.057684228862647784)","(112, 0.05597500885777562)","(47, 0.06433298013500016)"
"(187, 0.1070121007949842)","(469, 0.09129762843253623)","(224, 0.09310328812005107)","(595, 0.07793837560067683)","(524, 0.01702531932200135)","(133, 0.03571822916777161)","(228, 0.03795052505258528)","(73, 0.06593082763334573)","(399, 0.057106982342206444)","(535, 0.05551235510109212)","(554, 0.06396028703962318)"
"(182, 0.10670467130616941)","(42, 0.09127244923960541)","(427, 0.09271677687016985)","(163, 0.07744921460972172)","(65, 0.01655013046249569)","(122, 0.035709717647517375)","(182, 0.0377484285895605)","(287, 0.06589280546436616)","(640, 0.05683748065675849)","(137, 0.05475855814696855)","(168, 0.062293794933125674)"
"(108, 0.1061517271293611)","(477, 0.09046372100838365)","(263, 0.09246405193141392)","(60, 0.07564838971846942)","(109, 0.01341353935237635)","(443, 0.035673899662034894)","(146, 0.0375381888041655)","(444, 0.06535631114482655)","(10, 0.05658591123839168)","(505, 0.054022094672430035)","(555, 0.06113995078658599)"
"(467, 0.10590423736925923)","(90, 0.089649532730557)","(657, 0.09225824438042841)","(559, 0.07477383223938637)","(191, 0.012380152753475865)","(229, 0.03513335476914523)","(596, 0.03748347625934981)","(167, 0.06486021733399716)","(320, 0.05637718980296712)","(538, 0.05401758438730412)","(603, 0.06050898548502958)"
"(208, 0.10578535238940699)","(237, 0.08955451480695437)","(278, 0.09157637648170873)","(531, 0.07420664320271518)","(1, 0.0)","(676, 0.03501246770870414)","(208, 0.0374232052974999)","(596, 0.06474105673078238)","(138, 0.05601719417880149)","(655, 0.05287642839291376)","(18, 0.05936946237294825)"
"(20, 0.10503798090860916)","(322, 0.08943094014507222)","(124, 0.09145526534203614)","(303, 0.07369417534964741)","(100, 0.0)","(505, 0.034662283831599146)","(101, 0.03713949921624494)","(190, 0.06474105673078236)","(564, 0.055302925486671595)","(276, 0.05150557741211895)","(677, 0.058747825123260586)"
"(303, 0.10449754635208514)","(327, 0.08903079970330373)","(626, 0.0907137854233918)","(129, 0.07345022516856438)","(101, 0.0)","(448, 0.03462735263225049)","(620, 0.036703405533755784)","(14, 0.06468247217999447)","(108, 0.05511250294836542)","(444, 0.051227877777049194)","(180, 0.05864547667966175)"
"(534, 0.10315998376528986)","(582, 0.08903079970330371)","(72, 0.08902377086735039)","(114, 0.07335734927666282)","(103, 0.0)","(572, 0.0344610558033651)","(560, 0.03656519350337569)","(83, 0.06395238003674902)","(555, 0.05485065397404957)","(412, 0.05104741929422682)","(401, 0.05860770299842501)"
"(301, 0.10312251872546149)","(85, 0.08839421764772622)","(182, 0.08863798912026917)","(32, 0.07320081305966517)","(104, 0.0)","(462, 0.03402620989997034)","(499, 0.0363923074591875)","(496, 0.06330900791320165)","(647, 0.054756799366608176)","(32, 0.05061501007646392)","(113, 0.058012685526956355)"
"(444, 0.10270715965674933)","(148, 0.08831061516802946)","(271, 0.08849211018531154)","(35, 0.07310741857905279)","(105, 0.0)","(158, 0.03397869518256941)","(550, 0.036221850749459834)","(466, 0.06330900791320158)","(74, 0.054613446034340166)","(290, 0.05058911782991195)","(508, 0.05768585089506078)"
"(293, 0.09946942887894741)","(75, 0.0881948112392843)","(234, 0.08789938293023983)","(502, 0.072975975127249)","(107, 0.0)","(70, 0.033934901916465504)","(36, 0.03592097183524534)","(137, 0.06210693827738795)","(608, 0.05439204709252839)","(9, 0.05045277578222064)","(27, 0.05718684003658258)"
"(302, 0.09930183073314132)","(208, 0.08810172033786694)","(140, 0.08786160911212786)","(564, 0.07264614144221686)","(108, 0.0)","(195, 0.033860769922420424)","(273, 0.03531786743778919)","(123, 0.0617249978480999)","(591, 0.053888183009255436)","(224, 0.050346020673898956)","(296, 0.05711145220795023)"
"(66, 0.09915953184108592)","(673, 0.08698384103122658)","(143, 0.08730978944072293)","(218, 0.0726192718418078)","(11, 0.0)","(169, 0.03341848627941596)","(28, 0.0352470929540795)","(573, 0.06141875921863403)","(95, 0.05387081882913012)","(672, 0.05021089471534092)","(564, 0.05634652375476878)"
"(476, 0.09887246953594789)","(44, 0.08601192403434033)","(24, 0.08729498938966002)","(127, 0.07182533523821848)","(110, 0.0)","(331, 0.03324927766669425)","(110, 0.034721088426290105)","(194, 0.060060198423402225)","(319, 0.053773405066355306)","(50, 0.050181368836659315)","(33, 0.05589255950455175)"
"(151, 0.0978873782741447)","(312, 0.08597566787649356)","(433, 0.08706510072545262)","(645, 0.07149911310062655)","(111, 0.0)","(295, 0.033203216649941816)","(306, 0.033712727028215636)","(115, 0.05850230968139906)","(670, 0.053692270578028674)","(413, 0.0501652626271836)","(669, 0.055835755015828596)"
"(178, 0.0961347961445985)","(531, 0.0849565230334941)","(500, 0.08655088834325729)","(170, 0.07037607208625893)","(117, 0.0)","(489, 0.03274674981473833)","(640, 0.032611859303395364)","(448, 0.05822880509936908)","(303, 0.05349690421813833)","(167, 0.04931283601500521)","(569, 0.05550925061834186)"
"(502, 0.09550779884872436)","(9, 0.08347723230581768)","(50, 0.08651630471088426)","(302, 0.0700300321113052)","(12, 0.0)","(228, 0.03264698114773622)","(589, 0.03217373828515644)","(445, 0.05821540319006435)","(296, 0.053300362980450676)","(123, 0.04692914735755045)","(412, 0.05369418354257361)"
"(402, 0.09363917214290056)","(285, 0.08344568780776228)","(581, 0.08649220073005615)","(612, 0.0697042931487494)","(120, 0.0)","(470, 0.032389364691494574)","(660, 0.03210865624538859)","(18, 0.057750904357334674)","(534, 0.05281214691914435)","(578, 0.046288366769771556)","(447, 0.05310324757403972)"
"(668, 0.09207904145035425)","(69, 0.08304023166819259)","(680, 0.08638424674368368)","(33, 0.0696438603432596)","(122, 0.0)","(561, 0.032113316786485525)","(647, 0.03141801881811128)","(304, 0.05722355029439894)","(301, 0.052792966912367206)","(24, 0.04628836676977146)","(536, 0.05199249961153298)"
"(475, 0.09198171071059646)","(638, 0.08246016794717333)","(231, 0.08570415898291817)","(250, 0.06937055750974222)","(123, 0.0)","(201, 0.03198590944345466)","(76, 0.031059214707294593)","(587, 0.05703745695509297)","(133, 0.05260755061255916)","(579, 0.046203057302655025)","(6, 0.0515250835539571)"
"(107, 0.09168566693646309)","(95, 0.08240144793707467)","(25, 0.08399888628900641)","(548, 0.06869816034848805)","(124, 0.0)","(651, 0.03166996864751073)","(95, 0.03090966636652623)","(398, 0.05552567308464566)","(71, 0.052334533588928256)","(445, 0.045630659183834986)","(552, 0.05142274962264472)"
"(230, 0.0909569488124148)","(144, 0.08210965561333342)","(183, 0.08355502503923347)","(665, 0.06869412587702672)","(125, 0.0)","(530, 0.03148583936227918)","(326, 0.030798649109725088)","(174, 0.055289894214521004)","(410, 0.05173726798690088)","(17, 0.04535668288299796)","(446, 0.0510667430975364)"
"(660, 0.09076254929707163)","(222, 0.08186044967562311)","(277, 0.08334945940799762)","(128, 0.06866977236562863)","(126, 0.0)","(268, 0.03140175519791789)","(303, 0.03069512394585161)","(461, 0.055288665586820385)","(324, 0.05163125036444797)","(647, 0.04453566664120742)","(309, 0.05085826765457219)"
"(71, 0.09044693288259241)","(458, 0.08041027678556517)","(163, 0.08294300136365043)","(506, 0.06821885603063685)","(128, 0.0)","(182, 0.031094651916718046)","(534, 0.030302228123698215)","(644, 0.054999351508724544)","(655, 0.051582735981174355)","(680, 0.04442863064723291)","(231, 0.050664591578017226)"
"(81, 0.09033153190127807)","(240, 0.07960211278902453)","(65, 0.08181778592604787)","(295, 0.06689409194138346)","(13, 0.0)","(84, 0.030531228045506835)","(301, 0.030291223137635732)","(504, 0.054731534348374224)","(490, 0.051527268743406456)","(66, 0.044383197449426315)","(290, 0.048268446460388074)"
"(305, 0.08997072055093434)","(195, 0.07960211278902445)","(304, 0.08077817359621796)","(135, 0.06624997474640686)","(130, 0.0)","(263, 0.030453349533229118)","(444, 0.030169215506440295)","(580, 0.05350587740048366)","(547, 0.05099174343602077)","(448, 0.04427101288342119)","(489, 0.04812644286671381)"
"(656, 0.08904452322611121)","(666, 0.07905750421614278)","(317, 0.0804418637606053)","(558, 0.0657178378177277)","(131, 0.0)","(332, 0.030196785494361812)","(94, 0.029574776295529875)","(208, 0.05254137866071143)","(293, 0.050922789052298065)","(555, 0.044161917322928936)","(151, 0.04772496805794155)"
"(320, 0.0886641588598637)","(623, 0.07749136460106176)","(590, 0.07533013272152507)","(501, 0.06559878710658248)","(139, 0.0)","(278, 0.030160990609114587)","(656, 0.02945914085905625)","(66, 0.051430626194933916)","(302, 0.05083698816733646)","(461, 0.04193688716726455)","(488, 0.0462655640836547)"
"(397, 0.0882867220811721)","(392, 0.07722539271799493)","(142, 0.07484750115236215)","(287, 0.06482415292246696)","(140, 0.0)","(87, 0.03006682151620917)","(293, 0.029218164012914525)","(215, 0.05139561342257523)","(32, 0.050237709997441315)","(217, 0.04175728511212871)","(444, 0.045893249873113204)"
"(76, 0.08779605986793736)","(14, 0.07657542091019033)","(1, 0.07469254888004156)","(511, 0.06434834966805363)","(141, 0.0)","(626, 0.02987689331449625)","(302, 0.029168933710020346)","(278, 0.05071824180247456)","(276, 0.050102275407604896)","(536, 0.04151634313861686)","(17, 0.04543984060080875)"
"(122, 0.0874920586871717)","(498, 0.07626227335011765)","(612, 0.07464870122728523)","(10, 0.0641952101569621)","(143, 0.0)","(321, 0.0298700899280957)","(32, 0.02882508357566551)","(34, 0.05030524912675865)","(226, 0.049967695572511545)","(386, 0.041404161596100456)","(331, 0.044998024921659496)"
"(263, 0.0860613719639081)","(423, 0.07594326825474954)","(185, 0.07407225475324367)","(146, 0.06393309208294205)","(144, 0.0)","(654, 0.029510291782670176)","(34, 0.027619125751188064)","(626, 0.050240508313192975)","(256, 0.04963357523348761)","(564, 0.0401400450545511)","(39, 0.04419326042340409)"
"(96, 0.085238774208617)","(660, 0.07559020747869807)","(611, 0.07373273155364221)","(14, 0.06307463680875766)","(145, 0.0)","(125, 0.029316056988401316)","(312, 0.027326474233033735)","(488, 0.05005016535283522)","(624, 0.04924484979746914)","(132, 0.039201972606164044)","(468, 0.041381178523369914)"
"(2, 0.08523877420861699)","(491, 0.07551719489248072)","(592, 0.07370056993438144)","(80, 0.06302310408629296)","(147, 0.0)","(53, 0.0292984550312525)","(14, 0.027135648374375234)","(654, 0.04962403701166039)","(445, 0.0487382535263128)","(278, 0.03856077644784354)","(445, 0.04087889904228691)"
"(393, 0.08523877420861699)","(55, 0.07543744773034519)","(196, 0.07315865759453823)","(121, 0.06265949980531249)","(148, 0.0)","(573, 0.029298455031252484)","(305, 0.02642801209421318)","(231, 0.04928334981619603)","(666, 0.04836929125085402)","(626, 0.03819755852807454)","(80, 0.03841648438303111)"
"(228, 0.08489708119097868)","(143, 0.0752816706082776)","(153, 0.07210894316572505)","(578, 0.06252650501390905)","(149, 0.0)","(501, 0.029132082746056085)","(81, 0.024301161883233544)","(300, 0.048202654824678975)","(160, 0.04831508528161358)","(603, 0.03798710205856466)","(208, 0.038102127212781896)"
"(292, 0.08465531265457223)","(427, 0.07481800145882034)","(562, 0.07150442844950335)","(652, 0.06211064689743057)","(153, 0.0)","(488, 0.02908730246934987)","(320, 0.023744490333111542)","(581, 0.047902445141311645)","(129, 0.04828811965380474)","(212, 0.03788876157813731)","(160, 0.03760533963719482)"
"(41, 0.08417535597322054)","(632, 0.07452364273703724)","(135, 0.07094935401763625)","(572, 0.06192004829319932)","(155, 0.0)","(219, 0.029023517076360385)","(580, 0.0236027309149043)","(279, 0.04738827162781829)","(271, 0.048023763565726)","(654, 0.03772885907793412)","(23, 0.03620133484529103)"
"(129, 0.08298485785936534)","(76, 0.07311961191733189)","(417, 0.0708253916633839)","(92, 0.061908797907778514)","(158, 0.0)","(120, 0.028980387729282353)","(159, 0.022697565198898904)","(270, 0.04738827162781824)","(175, 0.047614088698047)","(581, 0.03641994305703798)","(230, 0.03451582768795216)"
"(490, 0.08157584583320628)","(190, 0.07280879849425123)","(558, 0.07037947045944269)","(126, 0.06154554353766124)","(159, 0.0)","(528, 0.028650383776269422)","(187, 0.022644536125528403)","(569, 0.0464077185858269)","(561, 0.04729805977353779)","(279, 0.03602902000441252)","(109, 0.03422306728825502)"
"(94, 0.08070290012459297)","(457, 0.07269334355500875)","(98, 0.06978794829848774)","(112, 0.0610855703757097)","(16, 0.0)","(328, 0.028632494056275784)","(52, 0.02239151660735025)","(388, 0.045664883366372824)","(384, 0.047200456327013154)","(270, 0.036029020004412486)","(589, 0.03275742575512843)"
"(507, 0.0803190366535896)","(443, 0.07184309976134101)","(129, 0.06893429161109488)","(307, 0.060890448284406144)","(165, 0.0)","(581, 0.028486500058253903)","(670, 0.0203186377837835)","(660, 0.045079865625200284)","(475, 0.046689865358567256)","(569, 0.035283511380617166)","(7, 0.03234706237993083)"
"(186, 0.07890752373025174)","(7, 0.07172774745966341)","(10, 0.06874883664630961)","(202, 0.06066646206038959)","(166, 0.0)","(168, 0.028461270265500178)","(215, 0.020201485415798796)","(248, 0.0443209409085385)","(146, 0.04664440688273493)","(267, 0.03197129887009608)","(646, 0.03211732056471507)"
"(159, 0.07727090060413204)","(496, 0.07119829413954568)","(138, 0.06805787602780838)","(133, 0.05968186591868417)","(167, 0.0)","(270, 0.028180732705901133)","(672, 0.018116801459710067)","(646, 0.0442885587971072)","(268, 0.04625003714876833)","(209, 0.031016338950170717)","(74, 0.028065344914333976)"
"(154, 0.07722549445363482)","(466, 0.07119829413954559)","(68, 0.06770191669177354)","(321, 0.05963438269511066)","(169, 0.0)","(400, 0.028161790857077946)","(476, 0.01764307755762751)","(19, 0.043898608159840945)","(305, 0.046059981193560175)","(677, 0.030959688055482413)","(92, 0.0268425418583746)"
"(587, 0.07631466407104971)","(229, 0.0707545049894416)","(93, 0.06714935659313398)","(524, 0.05938431273246018)","(173, 0.0)","(637, 0.028112941226446225)","(524, 0.016736343354441054)","(383, 0.043748012147702985)","(248, 0.04589434679639289)","(247, 0.030412235969606863)","(656, 0.023918767379850547)"
"(52, 0.07622899808770099)","(65, 0.0705462657674267)","(121, 0.06710419213399382)","(655, 0.058519240996792975)","(174, 0.0)","(74, 0.02760354106072568)","(109, 0.01318586723419458)","(76, 0.04360647218396666)","(123, 0.04565053308185668)","(73, 0.027495867306821884)","(100, 0.0)"
"(487, 0.07584037344619442)","(676, 0.0705110524590089)","(661, 0.0656300350053788)","(649, 0.05850555165301016)","(175, 0.0)","(11, 0.02756884464269209)","(191, 0.012170020623040184)","(234, 0.0433053564555685)","(122, 0.04441092048070931)","(220, 0.026280719213323502)","(101, 0.0)"
"(406, 0.07582678517886976)","(273, 0.07042014734205909)","(285, 0.06546347663332003)","(139, 0.05837741665236679)","(176, 0.0)","(671, 0.027568844642692023)","(668, 0.009112415844324167)","(126, 0.043082557212350485)","(488, 0.0431782289509147)","(157, 0.025553465957576488)","(104, 0.0)"
"(395, 0.07559343054987105)","(180, 0.07041822338458051)","(114, 0.06512915031135531)","(421, 0.058177235898768026)","(177, 0.0)","(596, 0.02702287286497677)","(1, 0.0)","(384, 0.04205389329828158)","(448, 0.04306482116123007)","(74, 0.02463468019969745)","(105, 0.0)"
"(491, 0.0754135344323269)","(181, 0.07032466235259223)","(468, 0.06483769165332687)","(574, 0.0576383566695568)","(178, 0.0)","(101, 0.026774890318214582)","(100, 0.0)","(321, 0.04174472360802453)","(7, 0.04297838844747839)","(294, 0.024423738010366545)","(11, 0.0)"
"(198, 0.07381226213829171)","(242, 0.06889036981425692)","(133, 0.06391534260513025)","(412, 0.05760980025089865)","(179, 0.0)","(555, 0.02666034472020039)","(104, 0.0)","(537, 0.04129824313894402)","(580, 0.04113594840889299)","(670, 0.02347853095826251)","(110, 0.0)"
"(662, 0.06991613677731519)","(227, 0.06866973259914719)","(86, 0.06381206222334947)","(100, 0.0571230825383715)","(18, 0.0)","(98, 0.02661564186901157)","(105, 0.0)","(169, 0.04110548940643947)","(664, 0.04038982232155604)","(509, 0.021902970820779882)","(111, 0.0)"
"(17, 0.06930029990716463)","(462, 0.0685248435271418)","(546, 0.0637459736936903)","(84, 0.05470340342116962)","(180, 0.0)","(113, 0.026516698619958503)","(107, 0.0)","(399, 0.04106945818016327)","(387, 0.03997415645800921)","(501, 0.021694755405364818)","(115, 0.0)"
"(482, 0.06819101936689358)","(506, 0.0679983964704736)","(655, 0.06267024798450992)","(187, 0.054500027881725484)","(181, 0.0)","(560, 0.026360857474592606)","(108, 0.0)","(322, 0.03984739217691804)","(183, 0.03997415645800919)","(92, 0.020474406422594415)","(116, 0.0)"
"(62, 0.06802948823417593)","(194, 0.06754463249987476)","(144, 0.06214935022579585)","(461, 0.05439199147192751)","(184, 0.0)","(550, 0.026113332204418003)","(111, 0.0)","(656, 0.039299382285452086)","(159, 0.03955838306997773)","(522, 0.017034173865723146)","(117, 0.0)"
"(460, 0.06668148188402481)","(169, 0.06730095858289849)","(505, 0.06202580022001533)","(561, 0.053658389884137424)","(186, 0.0)","(468, 0.026016474241425547)","(116, 0.0)","(386, 0.03896959034353024)","(187, 0.03946596150934541)","(98, 0.0)","(12, 0.0)"
"(85, 0.06510577556025819)","(600, 0.06691925488104027)","(669, 0.06157601694632386)","(481, 0.05351527355310673)","(187, 0.0)","(520, 0.02593883869589022)","(117, 0.0)","(74, 0.038701039082479904)","(98, 0.03920081592323602)","(10, 0.0)","(120, 0.0)"
"(181, 0.0649002428250953)","(675, 0.06676721606401612)","(8, 0.06151043515566077)","(383, 0.05277210231251528)","(188, 0.0)","(679, 0.025865581729896787)","(12, 0.0)","(84, 0.038292983896724676)","(35, 0.03906073371844324)","(100, 0.0)","(126, 0.0)"
"(461, 0.06481871607546856)","(294, 0.06670798703670873)","(127, 0.06132586035013267)","(268, 0.052469436111476773)","(19, 0.0)","(564, 0.025755121920588774)","(122, 0.0)","(548, 0.03817105366020108)","(625, 0.039055087478584403)","(104, 0.0)","(13, 0.0)"
"(86, 0.06470472414033564)","(501, 0.06644616865815905)","(295, 0.06123547522724133)","(510, 0.05109252270318103)","(190, 0.0)","(446, 0.025373206348700644)","(123, 0.0)","(522, 0.03763270288881326)","(113, 0.03905508747858438)","(105, 0.0)","(130, 0.0)"
"(155, 0.06348896380446502)","(422, 0.06641046157477401)","(226, 0.06070806081101756)","(271, 0.05067169416264283)","(192, 0.0)","(1, 0.024600244647065016)","(124, 0.0)","(275, 0.037566623024619925)","(508, 0.03883505706586058)","(109, 0.0)","(140, 0.0)"
"(161, 0.06313151697991538)","(140, 0.06547076179509831)","(492, 0.05974421605413624)","(522, 0.05055109523222475)","(193, 0.0)","(306, 0.024304435642835968)","(126, 0.0)","(220, 0.03456652055767466)","(468, 0.038619782032917924)","(11, 0.0)","(141, 0.0)"
"(196, 0.0626581553064503)","(590, 0.06495237561270113)","(105, 0.05918844382515265)","(104, 0.04931722158489592)","(194, 0.0)","(218, 0.02424936848392411)","(127, 0.0)","(175, 0.03424248216887084)","(263, 0.03787376024199707)","(110, 0.0)","(143, 0.0)"
"(203, 0.061213841794015844)","(425, 0.06453936779282995)","(128, 0.058631579739973586)","(22, 0.0480005782790339)","(195, 0.0)","(196, 0.024095052342729743)","(128, 0.0)","(47, 0.03387950027984027)","(278, 0.03751016372580958)","(111, 0.0)","(144, 0.0)"
"(46, 0.06027291526294208)","(142, 0.06453623314978126)","(561, 0.05746459699763879)","(95, 0.04766607540041764)","(196, 0.0)","(6, 0.023551316398438462)","(13, 0.0)","(75, 0.03382389354593485)","(656, 0.03732677310046688)","(113, 0.0)","(146, 0.0)"
"(244, 0.06027291526294206)","(304, 0.06435449393166237)","(243, 0.05660576019806231)","(330, 0.04596051252732883)","(197, 0.0)","(640, 0.02351078970767397)","(130, 0.0)","(22, 0.03360093259501288)","(626, 0.037156841907793)","(114, 0.0)","(147, 0.0)"
"(299, 0.060272915262941984)","(657, 0.06394273079092025)","(54, 0.05625022123377223)","(7, 0.0456338585271663)","(198, 0.0)","(309, 0.023246525194956416)","(131, 0.0)","(95, 0.03336677690189007)","(654, 0.03670091247035691)","(117, 0.0)","(148, 0.0)"
