Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11
"(614, 0.3288910178919125)","(5, 0.24934846184594137)","(531, 0.360911901044172)","(198, 0.1758139667436978)","(636, 0.16428805182325545)","(535, 0.08997209014429423)","(575, 0.12923409062025445)","(390, 0.17525882887579972)","(142, 0.13331777309319418)","(605, 0.1630900455340591)","(605, 0.1639533663424808)"
"(547, 0.3259400237807867)","(215, 0.24028727035195607)","(565, 0.35806508209875515)","(537, 0.17392939640567986)","(309, 0.16009830599176234)","(78, 0.08971295943468811)","(574, 0.1292340906202544)","(199, 0.1741049343362426)","(606, 0.13329570751055944)","(573, 0.1621411861460072)","(107, 0.1637203960655238)"
"(503, 0.32410558362188313)","(279, 0.2401550212180749)","(401, 0.3567123637797461)","(447, 0.1715113193817215)","(646, 0.1598947292234797)","(461, 0.08921599308736035)","(33, 0.12696504316107315)","(389, 0.17135031238971782)","(440, 0.13060258732165683)","(575, 0.16128523713865817)","(268, 0.16199760930494594)"
"(407, 0.3205139066589568)","(467, 0.2394175047917069)","(506, 0.3513186442658044)","(196, 0.17050934267430268)","(619, 0.15559027516006976)","(300, 0.08893042608024154)","(572, 0.12626538652468366)","(64, 0.17121714367507793)","(619, 0.13024192189324935)","(656, 0.1604358593773544)","(498, 0.1618310306969211)"
"(543, 0.31888877781360925)","(116, 0.23936068326372242)","(552, 0.35087529803915274)","(304, 0.16998932696683292)","(14, 0.1544024135318115)","(653, 0.08849545123393444)","(68, 0.12506502961642618)","(614, 0.17058441771567198)","(169, 0.12957634470882237)","(23, 0.1596057951509324)","(81, 0.16022269698117508)"
"(385, 0.31852928134375524)","(71, 0.23568788374541472)","(638, 0.350306897123165)","(608, 0.1690726134992404)","(168, 0.15393941910455347)","(631, 0.08794594000133721)","(150, 0.12286124221141917)","(227, 0.1689141563415673)","(631, 0.12953107132097175)","(292, 0.15827029396417866)","(60, 0.16019128133619528)"
"(185, 0.31707905258756036)","(163, 0.23447860878834226)","(229, 0.350046232334177)","(72, 0.16892615588297946)","(503, 0.153790338356442)","(200, 0.08683993296444668)","(652, 0.12251146865871808)","(23, 0.16820734099270926)","(652, 0.12905792573901367)","(153, 0.15827029396417863)","(591, 0.15910439715170346)"
"(224, 0.31603097389788853)","(319, 0.23361984413128312)","(222, 0.34775917678636664)","(535, 0.16785361696961307)","(407, 0.15208606282615714)","(387, 0.08643995425446703)","(75, 0.12034601097067711)","(103, 0.16742564254342177)","(33, 0.12819302165921143)","(469, 0.15720448861514452)","(261, 0.15892740923744275)"
"(552, 0.3132214628205935)","(475, 0.2313543094212277)","(107, 0.3437533293212403)","(37, 0.16689043253112415)","(572, 0.15171272849719275)","(61, 0.0860105438141562)","(233, 0.11982621231448817)","(181, 0.16632727144969064)","(42, 0.12672990725353786)","(487, 0.15507258466101354)","(183, 0.15891410291828434)"
"(613, 0.3128377589064331)","(102, 0.22953120300506494)","(645, 0.340437110926283)","(138, 0.16350052005225071)","(385, 0.1511443444042626)","(630, 0.08532009411052864)","(178, 0.11875359332457233)","(97, 0.1657446876167293)","(578, 0.1257051532291284)","(102, 0.1530687958024763)","(75, 0.1580095471319813)"
"(167, 0.30847570923206963)","(591, 0.22186042718017107)","(537, 0.3370887064553566)","(209, 0.16296207512439287)","(189, 0.15040343629339817)","(639, 0.08527589644323358)","(97, 0.11805357281743742)","(568, 0.165744687616729)","(630, 0.12566359737783084)","(125, 0.15300861069556063)","(502, 0.15592057408502452)"
"(135, 0.30313048414247384)","(122, 0.22006184339296322)","(33, 0.33567627275059064)","(482, 0.16178402471128617)","(161, 0.1501807066045159)","(71, 0.08517108199248428)","(619, 0.11599929624467034)","(209, 0.16569676540092154)","(523, 0.12541460843871396)","(148, 0.15206117984803422)","(133, 0.15532334100783043)"
"(546, 0.30269460459910724)","(662, 0.21951812430929996)","(568, 0.3316875791397098)","(569, 0.16132583325595215)","(645, 0.14978927912154702)","(23, 0.08399194369216424)","(446, 0.11547654480398599)","(433, 0.1648061973790733)","(633, 0.12541460843871396)","(390, 0.1512434862695887)","(221, 0.15529310288213172)"
"(548, 0.3025244574475124)","(490, 0.21808924285518966)","(4, 0.3304634777656588)","(603, 0.16107571877668822)","(676, 0.14925210385150678)","(595, 0.0829515741222824)","(503, 0.1146573653155625)","(467, 0.16308911469138726)","(52, 0.12363033984711717)","(470, 0.15026582553090942)","(586, 0.1539250487790363)"
"(136, 0.3021834091508534)","(15, 0.21359454831510732)","(652, 0.3294920994934428)","(101, 0.1603648391785558)","(546, 0.14676292111484637)","(559, 0.08140298284743941)","(407, 0.11338675401343148)","(613, 0.1622581464358134)","(63, 0.12212306520722331)","(511, 0.14969208992725516)","(390, 0.1520440970512413)"
"(5, 0.29939727400297156)","(62, 0.21359454831510713)","(221, 0.32655848411713734)","(270, 0.15777668681013432)","(15, 0.14676292111484635)","(395, 0.08115538163812017)","(385, 0.11268466209870208)","(503, 0.16097648502831338)","(4, 0.12202490148972964)","(490, 0.14914241742957576)","(479, 0.15179707347020338)"
"(24, 0.29631521152772977)","(27, 0.21307208814453354)","(446, 0.3253466524286621)","(240, 0.15747564542035528)","(203, 0.14561883595363384)","(655, 0.08104897728740923)","(294, 0.11251504515123358)","(36, 0.15996992078641978)","(552, 0.12188115919889439)","(107, 0.14734707499640806)","(628, 0.15151186139348055)"
"(551, 0.2931050352559117)","(58, 0.2122103704430151)","(60, 0.32266506529607625)","(85, 0.15587675120135366)","(72, 0.14338811513111863)","(103, 0.08072445913477623)","(189, 0.11213228297761742)","(407, 0.1591925739756622)","(173, 0.12034816654056152)","(614, 0.14720959967654176)","(511, 0.1511805947556825)"
"(401, 0.2922292820619614)","(612, 0.21103074790950757)","(563, 0.32152491262008076)","(276, 0.15573825767234448)","(5, 0.1420660747567711)","(497, 0.07898204769563742)","(27, 0.1118491512060582)","(108, 0.15902659519913098)","(115, 0.11841049132420832)","(456, 0.14659365722749854)","(399, 0.14995911317227714)"
"(510, 0.290087996077028)","(70, 0.21053176532766552)","(55, 0.320473010171865)","(656, 0.15538598462073988)","(597, 0.14100525363097194)","(151, 0.07848818781871132)","(224, 0.11180084718169185)","(545, 0.15887443707431373)","(58, 0.11750215954601302)","(285, 0.14368430926605888)","(132, 0.14961465208736338)"
"(642, 0.289898888921463)","(228, 0.21035643586921257)","(578, 0.32047301017186486)","(668, 0.15340616821018987)","(24, 0.14060361482131964)","(389, 0.0781384701477578)","(518, 0.1098771685553371)","(429, 0.1588744370743137)","(545, 0.11750025108742192)","(115, 0.14226585703625574)","(614, 0.14798885698917555)"
"(58, 0.2815902375896249)","(387, 0.2100248855958383)","(456, 0.31913650311011343)","(576, 0.15337631401385668)","(500, 0.13940511193303196)","(594, 0.0777390858184078)","(3, 0.10982727209599537)","(189, 0.1574313235112076)","(429, 0.1175002510874219)","(613, 0.1400242595480591)","(209, 0.1475051800555868)"
"(163, 0.28154276855580906)","(185, 0.20940114245694372)","(653, 0.31630982225079246)","(491, 0.15247980780849227)","(571, 0.1392315320347598)","(620, 0.07703784564369882)","(151, 0.1078703749540111)","(224, 0.15696599475283415)","(64, 0.11680733937458278)","(589, 0.1400140904597347)","(387, 0.14734609169370194)"
"(323, 0.27755705476185216)","(263, 0.20905110743910837)","(11, 0.31571255329559583)","(438, 0.15237459282527946)","(295, 0.13814615755077012)","(568, 0.07603209719164361)","(72, 0.10690205687950449)","(149, 0.15436895335151057)","(36, 0.11667590471426673)","(599, 0.13916953416914357)","(675, 0.14707747677750757)"
"(36, 0.27423319334730467)","(611, 0.2084413155133193)","(530, 0.31476281915761267)","(677, 0.14929419411978254)","(420, 0.13814615755076995)","(563, 0.07544055085440324)","(467, 0.10620619560696987)","(170, 0.1543125544027382)","(224, 0.11632650834731198)","(423, 0.13886510030931418)","(665, 0.14607924334666053)"
"(497, 0.27407428049902066)","(677, 0.20736915565635375)","(294, 0.3140201033775919)","(167, 0.14910802961024408)","(563, 0.1379752781159073)","(547, 0.07521196128230322)","(5, 0.10591641845914959)","(121, 0.15019931405793646)","(472, 0.11543746891956469)","(70, 0.13775660890351715)","(661, 0.1459874433980731)"
"(535, 0.2739804494747367)","(505, 0.20671971485370758)","(457, 0.30881551973768767)","(58, 0.14821773443429762)","(629, 0.13666551600114077)","(575, 0.07422616946487569)","(142, 0.1052174278766943)","(136, 0.1500881980969755)","(418, 0.11543746891956468)","(240, 0.1370660952374097)","(224, 0.14472504785218704)"
"(170, 0.27329096400998343)","(87, 0.20068136220265323)","(443, 0.30520351805769125)","(220, 0.14729406114124255)","(88, 0.13647665625517702)","(574, 0.07422616946487566)","(24, 0.10482609116765358)","(5, 0.1487043828664329)","(641, 0.11543746891956463)","(195, 0.13706609523740956)","(540, 0.14365149358746157)"
"(138, 0.27314506408453326)","(636, 0.20062361729879974)","(103, 0.30325082035180306)","(319, 0.1472851973186961)","(81, 0.13597194172148655)","(60, 0.07351930915200756)","(500, 0.10393255529951823)","(24, 0.14717358670316502)","(594, 0.1153986709300047)","(632, 0.13626926206783255)","(203, 0.14142420375072548)"
"(544, 0.2695102073543484)","(135, 0.20057274936975766)","(28, 0.2996420058547076)","(631, 0.1469495526947455)","(26, 0.1346508610285612)","(617, 0.07351060768462088)","(629, 0.10189006774837017)","(511, 0.1470882619965301)","(31, 0.11485297165033866)","(196, 0.13567366500811015)","(250, 0.1411530161498065)"
"(452, 0.2653315014408488)","(155, 0.19933850597447703)","(676, 0.29954472098126306)","(442, 0.14581957191605835)","(674, 0.13397560416658763)","(230, 0.07293122165160065)","(18, 0.10176122561147112)","(200, 0.14602864923377215)","(521, 0.11485297165033852)","(138, 0.13548754629523976)","(613, 0.1407654811018077)"
"(597, 0.26507323492800944)","(558, 0.19896169718090914)","(572, 0.2948271864531421)","(479, 0.14387246477206897)","(163, 0.13359398858281155)","(322, 0.0727372391708634)","(552, 0.10057542774343103)","(479, 0.14595219717394456)","(218, 0.11462901106272697)","(116, 0.13542357094200755)","(679, 0.1404791900786364)"
"(531, 0.26455459253405933)","(115, 0.19882666376811453)","(462, 0.2911069175510491)","(46, 0.1429982262012531)","(528, 0.13282481454870096)","(77, 0.07258080307607924)","(511, 0.1005744265875569)","(599, 0.14540376932614962)","(310, 0.11427726390644967)","(198, 0.1345863028289201)","(154, 0.13904892504028576)"
"(538, 0.26453780686746886)","(93, 0.19817096476851281)","(520, 0.29002905828618863)","(244, 0.14299822620125305)","(60, 0.1304877029842562)","(38, 0.07250536904695042)","(163, 0.09960011088213386)","(61, 0.14463396163819722)","(601, 0.11235858155922009)","(623, 0.13365189109715833)","(476, 0.13865470757611073)"
"(536, 0.26431087642854195)","(10, 0.19435192008506558)","(545, 0.28686217711369955)","(609, 0.14299822620125288)","(541, 0.13024544639868632)","(397, 0.07079017690307988)","(646, 0.09930054985807955)","(563, 0.14442243595579132)","(330, 0.10998721980919102)","(446, 0.13354355363746226)","(384, 0.1381341249444667)"
"(517, 0.26309237700680893)","(20, 0.19196105899861632)","(429, 0.2868621771136995)","(299, 0.14299822620125283)","(633, 0.13018832769062688)","(586, 0.07035675200106976)","(226, 0.09802892054178981)","(546, 0.14309823455448786)","(394, 0.10878542885004139)","(392, 0.13297364431877876)","(604, 0.13605180723265847)"
"(115, 0.26286095387918906)","(552, 0.19159569987118308)","(169, 0.285907615294858)","(630, 0.14256200644651856)","(559, 0.12897915803045149)","(36, 0.06937368625366071)","(322, 0.09729493960649827)","(629, 0.1430514727099098)","(86, 0.10861452975554135)","(498, 0.13131525855014547)","(542, 0.1360518072326584)"
"(522, 0.262183529544933)","(401, 0.1907493080940723)","(331, 0.2844599724978108)","(186, 0.14193257671315157)","(506, 0.1271004180190686)","(476, 0.06829864641561893)","(229, 0.09634970178776739)","(2, 0.14156324528199093)","(477, 0.10859443600601743)","(326, 0.1305771069574714)","(251, 0.13597659152397532)"
"(571, 0.261738847667517)","(121, 0.1897025349548069)","(470, 0.27710309624540314)","(123, 0.14190043119085452)","(532, 0.12673838568846418)","(652, 0.06790987341819774)","(401, 0.09560656947167168)","(393, 0.14156324528199093)","(200, 0.10799977181287773)","(442, 0.13017663239784902)","(48, 0.13437366802565878)"
"(102, 0.26085161599930856)","(620, 0.1876022417539098)","(389, 0.27517026492765206)","(90, 0.14090739977950065)","(154, 0.12495107488514406)","(543, 0.06752960217265719)","(64, 0.09400346691466449)","(96, 0.14156324528199093)","(237, 0.10750300693857683)","(491, 0.13003231528073156)","(592, 0.13437366802565878)"
