Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9
"(174, 0.12864702962881686)","(679, 0.13753452048819273)","(649, 0.11902608481108948)","(107, 0.21349615315237636)","(675, 0.16721665179771258)","(144, 0.1849385128388203)","(595, 0.1532016392372758)","(27, 0.4029332220648367)","(27, 0.29762837923967356)"
"(277, 0.1284009946347701)","(79, 0.13753452048819273)","(160, 0.11795440010034623)","(444, 0.21147698688379107)","(442, 0.16621871551008122)","(43, 0.1849385128388203)","(217, 0.14767193648464635)","(306, 0.399230847490367)","(306, 0.2948936041365169)"
"(471, 0.12840099463477003)","(161, 0.1371059881824425)","(466, 0.11781146497601032)","(441, 0.210157064646334)","(441, 0.1636415629579802)","(580, 0.18403604151327918)","(134, 0.1473232035372287)","(32, 0.39923084749036675)","(535, 0.2925249424518442)"
"(35, 0.12656330240787506)","(204, 0.13224273507669473)","(203, 0.1178114649760103)","(462, 0.20443364321985988)","(485, 0.16129721852551562)","(187, 0.1817828720255643)","(384, 0.1463677905301497)","(7, 0.3976505113616662)","(323, 0.29136181680195095)"
"(66, 0.1203727926711132)","(174, 0.13173417884887795)","(41, 0.1178114649760103)","(324, 0.2013083546750714)","(313, 0.16053431581553343)","(120, 0.17976965936803205)","(295, 0.14505531509187516)","(323, 0.39444946725371133)","(677, 0.2901658318223464)"
"(139, 0.12009337208630627)","(165, 0.1311160872607538)","(47, 0.11671665481674431)","(325, 0.2013083546750714)","(69, 0.1603726598745415)","(112, 0.1785944006505491)","(509, 0.14306876171943267)","(633, 0.39276460886247005)","(294, 0.28953273030351795)"
"(650, 0.12009337208630627)","(668, 0.13108816437812917)","(245, 0.11522149686280005)","(502, 0.20130835467507138)","(135, 0.15803839956348437)","(272, 0.17742362912945966)","(184, 0.1387606896026479)","(237, 0.38818128366679044)","(457, 0.28842600043720196)"
"(25, 0.1190597462091763)","(203, 0.12919647337402662)","(308, 0.11416683497572128)","(67, 0.1999614866553679)","(464, 0.15684366550008202)","(522, 0.1715522749602595)","(619, 0.13796949413854434)","(330, 0.386479969633702)","(676, 0.2879539590211333)"
"(234, 0.11762466091393371)","(466, 0.12919647337402662)","(188, 0.11310959463015595)","(391, 0.19621692211118874)","(67, 0.15570264203467268)","(461, 0.16677065749678438)","(583, 0.13703477208584236)","(229, 0.37988615445468726)","(237, 0.28673179569772983)"
"(50, 0.11700093601411032)","(41, 0.1291964733740266)","(402, 0.11176576914160406)","(406, 0.19595562757717935)","(195, 0.15568846745277423)","(524, 0.16541403454612794)","(639, 0.13656399574881598)","(572, 0.37520956056406773)","(330, 0.2854751126780201)"
"(441, 0.11650768424669278)","(166, 0.12882558752804324)","(157, 0.11165235497049786)","(505, 0.19486964992232494)","(647, 0.15542662397797272)","(133, 0.16057159548700198)","(24, 0.13638125585795471)","(652, 0.37465162285847087)","(652, 0.27673805282041825)"
"(187, 0.11610040283534205)","(532, 0.1257605105578976)","(439, 0.1114338042904897)","(518, 0.19235827937357572)","(197, 0.1500423227834024)","(307, 0.1605715954870019)","(669, 0.13591309035004998)","(327, 0.37199988765945974)","(327, 0.2747793370674454)"
"(90, 0.11517111142462762)","(657, 0.12447397349241812)","(550, 0.11013492542260124)","(188, 0.18854781225790782)","(326, 0.14802170532343298)","(443, 0.15622353725172505)","(86, 0.1313693218535293)","(582, 0.37199988765945957)","(582, 0.27477933706744534)"
"(120, 0.1117338282846444)","(66, 0.1232613846120496)","(485, 0.10827675888239002)","(670, 0.18838766917126193)","(679, 0.1479724174828121)","(391, 0.15219478559419347)","(601, 0.13108097757914305)","(452, 0.3719998876594595)","(443, 0.27477933706744523)"
"(112, 0.11100335932680745)","(324, 0.12319911969875819)","(580, 0.10717930222108026)","(169, 0.18798576461126731)","(79, 0.1479724174828121)","(150, 0.15049065801214456)","(579, 0.12969894752009767)","(222, 0.36518924512806067)","(456, 0.2745740164664652)"
"(67, 0.11085542038735965)","(673, 0.12293093616152927)","(14, 0.10558948677096408)","(509, 0.18720153061040173)","(190, 0.14797241748281206)","(163, 0.15049065801214448)","(293, 0.12709015955405792)","(102, 0.36151890830502764)","(222, 0.269748626301494)"
"(250, 0.10966483323662837)","(578, 0.12263830560539858)","(406, 0.10537377768607785)","(421, 0.18620417681179424)","(212, 0.1469946613097734)","(253, 0.1479508102710562)","(654, 0.12648362977897606)","(305, 0.36151890830502753)","(102, 0.2670375160229595)"
"(47, 0.10814660380640509)","(472, 0.12263830560539855)","(496, 0.10305723978179986)","(439, 0.1857543569071027)","(188, 0.14681523432065163)","(676, 0.1473424744073465)","(569, 0.12593097172064419)","(543, 0.36151890830502753)","(305, 0.26703751602295933)"
"(188, 0.10452786354299812)","(234, 0.12044730579930826)","(657, 0.10201121389186339)","(84, 0.18354589537943064)","(496, 0.14423466632797732)","(324, 0.14398740904476257)","(581, 0.12395261515652915)","(418, 0.3615189083050274)","(418, 0.26703751602295933)"
"(154, 0.10437804169771707)","(90, 0.1179348783598921)","(31, 0.09918907374798767)","(294, 0.1832317081433881)","(302, 0.14248147291244614)","(325, 0.14398740904476254)","(245, 0.12378803610975535)","(322, 0.3519335956346172)","(543, 0.26703751602295933)"
"(669, 0.10226836703725355)","(107, 0.11688497567160418)","(638, 0.09906493122766709)","(186, 0.18254408493524177)","(204, 0.14227902300002943)","(502, 0.14398740904476254)","(219, 0.12203015475459852)","(646, 0.3507859115802174)","(221, 0.2670375160229593)"
"(548, 0.10197684917136171)","(14, 0.11579339344400685)","(164, 0.09802506410966191)","(415, 0.1822897819334791)","(174, 0.14173187095275525)","(293, 0.14381021994452953)","(597, 0.12139786990532765)","(559, 0.35040294389387394)","(472, 0.2670375160229593)"
"(181, 0.10041322569233128)","(406, 0.11555683876702601)","(415, 0.09802506410966191)","(420, 0.18228978193347906)","(26, 0.13779155917216596)","(218, 0.14316806627604772)","(603, 0.12106367205406682)","(55, 0.34958428588989227)","(578, 0.2670375160229592)"
"(660, 0.09449165481767527)","(383, 0.11405130756936381)","(420, 0.09802506410966189)","(675, 0.18107703237669562)","(447, 0.13629711611255746)","(492, 0.1386400098592213)","(550, 0.12014662393526424)","(103, 0.348612093383986)","(576, 0.2623047077118211)"
"(203, 0.09072707436934002)","(68, 0.11326898344171867)","(166, 0.0965266877502601)","(202, 0.17827683978682565)","(151, 0.13613619983314473)","(169, 0.13849295743111054)","(485, 0.11955020422092176)","(673, 0.3451308010431867)","(646, 0.2591095412503159)"
"(41, 0.09072707436934002)","(250, 0.11229646573814364)","(20, 0.09637716576198882)","(507, 0.17827683978682554)","(556, 0.13602717394246383)","(13, 0.1384418328727443)","(399, 0.11776644983186609)","(294, 0.3421462241815414)","(559, 0.2588266605009862)"
"(466, 0.09072707436934002)","(320, 0.1119641802603696)","(202, 0.09586713234287964)","(134, 0.17827401428536954)","(299, 0.13516193194213796)","(226, 0.1330999510544962)","(53, 0.11547933557977658)","(47, 0.33502069116323774)","(55, 0.2582219552011153)"
"(657, 0.08982447334183274)","(386, 0.1109305212594673)","(507, 0.09586713234287958)","(636, 0.17704745813473963)","(291, 0.13338107199347596)","(468, 0.13148169883018243)","(137, 0.11201647917447179)","(279, 0.3334016553054625)","(673, 0.25493236922431006)"
"(324, 0.08949376938197215)","(388, 0.11093052125946702)","(636, 0.0952060408983523)","(528, 0.17526804153448222)","(317, 0.13337974342884767)","(387, 0.13148169883018238)","(231, 0.11150871857304138)","(101, 0.3327268145715351)","(506, 0.25066460250682443)"
"(325, 0.08949376938197215)","(655, 0.10848544021278998)","(528, 0.09424917198080826)","(424, 0.1752680415344821)","(66, 0.13261605158167913)","(294, 0.13109989110076264)","(496, 0.11071938541704461)","(548, 0.3327268145715351)","(47, 0.24746449253227593)"
