Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(242, 0.10452325665589296)","(12, 0.1294398715585712)","(276, 0.10680648346208263)","(215, 0.12508158375506415)","(69, 0.07521031158086737)","(79, 0.1355295124079219)","(166, 0.1237986936947566)","(84, 0.12514815417637537)","(45, 0.15012595521074654)","(625, 0.08230446940163831)","(228, 0.05298322701080654)","(224, 0.1020332568613738)","(478, 0.07789507817457038)","(480, 0.06121971476278558)","(102, 0.08272961979963625)","(558, 0.027368911251162097)","(228, 0.10479408593739781)","(17, 0.10791656510505877)"
"(81, 0.10389528773826825)","(496, 0.12873164664055797)","(573, 0.10615601493571301)","(498, 0.123531149463915)","(593, 0.07437211589508033)","(216, 0.1352204478300338)","(45, 0.12348145538731724)","(400, 0.12509273208987984)","(240, 0.1497869973928558)","(178, 0.08194998968373528)","(416, 0.052935629566694835)","(417, 0.10137437572442301)","(433, 0.0773928482297273)","(640, 0.06113191409858717)","(29, 0.0821825571314544)","(628, 0.027187045688225615)","(111, 0.10461359519224454)","(606, 0.10750779467598598)"
"(215, 0.10361316304489403)","(159, 0.1282253086740324)","(575, 0.10606317329055574)","(126, 0.12216750933890087)","(510, 0.07411589527563404)","(9, 0.13478118851490778)","(324, 0.1227355366820633)","(561, 0.12462113585015866)","(552, 0.1494097069671319)","(583, 0.08062854206887222)","(103, 0.0526880360288312)","(531, 0.10125052596615977)","(54, 0.07734794406585907)","(398, 0.06093228580176865)","(291, 0.08172248483412145)","(80, 0.02704352334035907)","(229, 0.1043617591971897)","(133, 0.10730065596480552)"
"(307, 0.1035374244958996)","(547, 0.12790953683026987)","(523, 0.10576873575602348)","(558, 0.12205742824985905)","(661, 0.07404162064731977)","(65, 0.1346986650922002)","(428, 0.12268529112342398)","(644, 0.12459453418932202)","(461, 0.14925226594584026)","(669, 0.08017769010443745)","(75, 0.05267729919121329)","(113, 0.10048289261907963)","(3, 0.07718883945332204)","(92, 0.06090604840146349)","(546, 0.08129274865823323)","(10, 0.026938795127182266)","(121, 0.10413026496577714)","(575, 0.10663121391751673)"
"(277, 0.10296336922172163)","(418, 0.1270622737739883)","(183, 0.10559952362894554)","(218, 0.12022599521412036)","(25, 0.07397513206913288)","(392, 0.1338137723177228)","(291, 0.12189373904089143)","(390, 0.12382510084627063)","(442, 0.14915741272206148)","(468, 0.08015283065085686)","(325, 0.052673778583108864)","(478, 0.09990094560745477)","(102, 0.07708566949697937)","(486, 0.06041825218244355)","(468, 0.08126823190834441)","(310, 0.02670012172830263)","(96, 0.10392703711754032)","(654, 0.10635723650726636)"
"(323, 0.10285987910828744)","(604, 0.1267854982936923)","(33, 0.10554979705107043)","(426, 0.11999698473716447)","(505, 0.07389170831383272)","(85, 0.13371193437276796)","(285, 0.12177096686568828)","(540, 0.12351218405678707)","(137, 0.1486160189555437)","(44, 0.07876054598462262)","(397, 0.05260941330331726)","(565, 0.09976779530271011)","(96, 0.07696339638630906)","(74, 0.06040921834093653)","(507, 0.08113707514865613)","(287, 0.026221612208055974)","(509, 0.10374563460384746)","(217, 0.1062324325049093)"
"(465, 0.1028122058072308)","(153, 0.12649167267459321)","(489, 0.10535805042972286)","(77, 0.11932772074955264)","(47, 0.0737532081577609)","(498, 0.1332000628898815)","(86, 0.121460137472187)","(25, 0.12285961653996641)","(216, 0.14858641564907488)","(543, 0.07843563149523074)","(459, 0.05257393714329656)","(73, 0.09881693561917741)","(331, 0.07533193396874813)","(532, 0.06021794884003811)","(629, 0.0807461252736612)","(581, 0.02493537082142744)","(190, 0.10333730077798457)","(391, 0.10596253405246542)"
"(571, 0.10273657073879078)","(540, 0.12645409592668597)","(148, 0.10533021281602276)","(563, 0.1189271547902236)","(165, 0.07346688075321434)","(400, 0.13159158161428425)","(39, 0.12004038837178929)","(444, 0.12268115544731031)","(207, 0.14800212865642798)","(244, 0.0783852403462373)","(93, 0.052385009502293314)","(397, 0.09868249889454324)","(273, 0.07519758371611115)","(618, 0.06009367209553594)","(666, 0.08059949073231644)","(90, 0.02433620469413227)","(663, 0.10325113969555588)","(33, 0.10575183313214362)"
"(634, 0.1024136677328955)","(18, 0.12608484368021403)","(582, 0.1050151065353951)","(441, 0.11884310234634864)","(60, 0.07326002816040535)","(275, 0.1312939505306168)","(677, 0.11998809966298918)","(62, 0.12183256295830724)","(555, 0.14798402720943676)","(169, 0.07815871182064245)","(194, 0.05229226576724239)","(253, 0.09816983565514628)","(458, 0.07488958768157895)","(201, 0.060040484731559624)","(182, 0.08054134187399523)","(438, 0.023930780707478175)","(501, 0.10313991157125131)","(261, 0.10573857098467447)"
"(607, 0.1010827803379187)","(440, 0.1257402465113443)","(71, 0.10491028603677018)","(276, 0.11854287004154926)","(42, 0.07325377707994687)","(12, 0.1308197742873751)","(112, 0.1198427989851933)","(150, 0.12118045231580042)","(320, 0.14764033097671383)","(184, 0.07736380954667603)","(177, 0.05228918987376861)","(324, 0.09777423116012296)","(581, 0.07444151913405218)","(600, 0.05987184963415183)","(312, 0.0804373021212101)","(594, 0.02379446869325502)","(459, 0.10297388816944002)","(535, 0.105476471593775)"
"(641, 0.10100329401605745)","(86, 0.12542527511798424)","(220, 0.10470342954215861)","(547, 0.11813831890111633)","(401, 0.07321323319731902)","(606, 0.13079605533421684)","(538, 0.1198291152661083)","(64, 0.12109930697345421)","(532, 0.14701470287157506)","(61, 0.07734039005713374)","(2, 0.05214483953622746)","(508, 0.09763709729771053)","(395, 0.07435688265315007)","(415, 0.059771652559636415)","(40, 0.08025385045679469)","(662, 0.023631283137267825)","(129, 0.10268887008042658)","(582, 0.10534811203149835)"
"(131, 0.10079246062746863)","(37, 0.12396300404864542)","(550, 0.10468387988809162)","(116, 0.11667915404497443)","(413, 0.0730611356656874)","(424, 0.13074124447693283)","(480, 0.1194946171512266)","(391, 0.12106243089841659)","(585, 0.14662224916006564)","(275, 0.07615005456414253)","(644, 0.05195046384254879)","(443, 0.0975884321650696)","(38, 0.07414594761725458)","(410, 0.05967245894215685)","(277, 0.08022821806506336)","(8, 0.023194613877149377)","(386, 0.10248289875897891)","(554, 0.10512727208658455)"
"(616, 0.10077736306750427)","(321, 0.12322529800937805)","(591, 0.10462641624156904)","(469, 0.11645687152259519)","(39, 0.07257761028393384)","(230, 0.1301484950319044)","(651, 0.11908499730807051)","(109, 0.12099309407314646)","(540, 0.14649032764369868)","(496, 0.07550785306965997)","(176, 0.05175050733619639)","(14, 0.09668355428281458)","(442, 0.07374206897276613)","(187, 0.059336905560495874)","(92, 0.07989972744404637)","(87, 0.021578772691314228)","(394, 0.10226444243615156)","(146, 0.10506575047047631)"
