Topic-1,Topic-2,Topic-3,Topic-4,Topic-5,Topic-6,Topic-7,Topic-8,Topic-9,Topic-10,Topic-11,Topic-12,Topic-13,Topic-14,Topic-15,Topic-16,Topic-17,Topic-18
"(270, 0.08312803480745018)","(399, 0.100355430217302)","(155, 0.0891042866386188)","(196, 0.09784620538138748)","(633, 0.046359739222413696)","(285, 0.0993023239624293)","(530, 0.09013018679016897)","(680, 0.0973859154134096)","(400, 0.11340858816854026)","(63, 0.05243812922738227)","(216, 0.045255258472725934)","(306, 0.06797276686745551)","(36, 0.05110416539292395)","(422, 0.03556509828577756)","(39, 0.0582072652962395)","(180, 0.0)","(640, 0.08713550451435789)","(640, 0.0886600927468376)"
"(389, 0.08310290739617214)","(125, 0.10026331585109893)","(545, 0.08893389822572446)","(129, 0.09777204849453616)","(634, 0.04548102628640638)","(40, 0.09890589352201716)","(503, 0.08980852864678708)","(207, 0.09725645123315699)","(651, 0.11326881444503925)","(470, 0.05229750870583454)","(505, 0.04520304576501971)","(130, 0.06757171820589448)","(195, 0.051099280669031875)","(578, 0.03553441042181469)","(511, 0.05809090117354375)","(181, 0.0)","(72, 0.08656274271347061)","(195, 0.08849654744356768)"
"(609, 0.08290963187634641)","(594, 0.09998751847399413)","(640, 0.08864079733563178)","(267, 0.09740897537056084)","(124, 0.04541003737243173)","(124, 0.09884457219640823)","(542, 0.08956605851890403)","(643, 0.09659432565209711)","(614, 0.11283552462693731)","(481, 0.05218711138336824)","(167, 0.045197303582924675)","(533, 0.06740677497487)","(583, 0.051062971496568146)","(520, 0.03537684275606909)","(534, 0.05793239499544316)","(182, 0.0)","(398, 0.08646880484709166)","(192, 0.0879978185259796)"
"(678, 0.0828406365529509)","(228, 0.09998340354255744)","(151, 0.08841139225836975)","(496, 0.09712865665905336)","(610, 0.04526033415086436)","(250, 0.09874922458123718)","(540, 0.08814525079555453)","(534, 0.09651898957442807)","(201, 0.11235410186231348)","(227, 0.05204908328488349)","(588, 0.04519512873058105)","(394, 0.06731658814322906)","(126, 0.05072301792707981)","(530, 0.03536089600122215)","(548, 0.05788901041671456)","(183, 0.0)","(467, 0.08633213788420604)","(48, 0.08791212150916275)"
"(463, 0.0826263456704675)","(58, 0.09960655902429126)","(195, 0.08835186666406893)","(399, 0.09675227429725669)","(1, 0.04501958424160856)","(96, 0.0980212955488375)","(50, 0.08794089860094996)","(46, 0.09598367265637738)","(544, 0.11229470628917995)","(502, 0.05199289003083789)","(615, 0.04511429073961676)","(279, 0.06708787676882508)","(506, 0.050490730661822254)","(63, 0.03523750761413203)","(608, 0.05771918234817422)","(185, 0.0)","(6, 0.08613063414208781)","(474, 0.08770874381541008)"
"(229, 0.08253822762037258)","(28, 0.09954002787334981)","(474, 0.08821267264509758)","(546, 0.09633077354927524)","(207, 0.04472776542659802)","(494, 0.09754537681163164)","(154, 0.0872267485515308)","(641, 0.09572077408548761)","(536, 0.1122824964550357)","(429, 0.05191846823149693)","(19, 0.04505683675346923)","(652, 0.06665726074973345)","(420, 0.050359496769543134)","(476, 0.03515084533536878)","(275, 0.05734351719986973)","(186, 0.0)","(305, 0.08577221136707536)","(12, 0.0876534244139663)"
"(69, 0.08251008401063173)","(471, 0.09931954570239969)","(48, 0.08800398632771272)","(666, 0.0962806278708272)","(115, 0.044398372556334796)","(613, 0.09664885187243587)","(611, 0.08705425231482168)","(482, 0.09444041973222045)","(398, 0.11156747953926409)","(516, 0.05170718967683499)","(136, 0.044945176076810804)","(196, 0.06627802472857973)","(626, 0.049870130678150444)","(329, 0.03510725076263525)","(46, 0.05729077157853197)","(187, 0.0)","(677, 0.08533764587250565)","(610, 0.0874609125935176)"
"(301, 0.08191296488315387)","(533, 0.09923561116203783)","(610, 0.08763953273388103)","(487, 0.09614637276935381)","(22, 0.04385569477684444)","(674, 0.09648881057279621)","(402, 0.08705129868187018)","(226, 0.09432772362121296)","(407, 0.11148913046023723)","(183, 0.05163855090306614)","(551, 0.044933891881279595)","(312, 0.06563968092724558)","(76, 0.04880665174373628)","(2, 0.03481290350429769)","(142, 0.05646529308516178)","(189, 0.0)","(135, 0.0852323288581849)","(486, 0.08720346604065236)"
"(27, 0.08150430917336388)","(70, 0.09916009825552162)","(440, 0.08735182513317043)","(45, 0.0959982191455356)","(195, 0.043732301224556)","(193, 0.09625911944352941)","(62, 0.08698394122677029)","(191, 0.09394455118848422)","(251, 0.11112693274222042)","(597, 0.05161758643751299)","(540, 0.04489026707008316)","(131, 0.06562482625075368)","(611, 0.048129007199366365)","(433, 0.03465629367029167)","(194, 0.05641419423189947)","(19, 0.0)","(594, 0.08521029236473822)","(85, 0.08684640651636308)"
"(542, 0.08037543652819071)","(622, 0.09911809223027278)","(424, 0.08730687809340168)","(64, 0.09595835537960515)","(541, 0.04331895014222515)","(142, 0.09607105649383973)","(532, 0.08665019374092861)","(51, 0.09345725700873149)","(30, 0.11108015663142588)","(520, 0.05160445423438168)","(38, 0.0448168191969306)","(555, 0.06503418341073638)","(568, 0.046342011979990605)","(533, 0.034578553625922714)","(299, 0.05612849712990486)","(190, 0.0)","(496, 0.0838439847853245)","(618, 0.08659213838819854)"
"(651, 0.07972510264740296)","(54, 0.09889185515913755)","(85, 0.08718404131540505)","(486, 0.09567737700554113)","(538, 0.043166935064330815)","(485, 0.09604381211097622)","(113, 0.08592665591927705)","(470, 0.093215392748449)","(195, 0.11045119914920429)","(180, 0.051587070622276535)","(7, 0.04466573678070953)","(613, 0.06501247390408744)","(39, 0.046137364083939286)","(250, 0.034320166205420666)","(509, 0.0553810462120776)","(191, 0.0)","(195, 0.08339173259192402)","(201, 0.08614426366605504)"
"(505, 0.07949169874040779)","(117, 0.0987579473170363)","(486, 0.08718128633563514)","(576, 0.0950517309201884)","(70, 0.04315779294654132)","(252, 0.09572248144475332)","(583, 0.08504444138184819)","(506, 0.09318589293005144)","(413, 0.11017343286289787)","(35, 0.05157432507206235)","(651, 0.04465576874252152)","(466, 0.06467996736101714)","(439, 0.04568480164777052)","(45, 0.034264571679653986)","(386, 0.0551573607992445)","(192, 0.0)","(49, 0.08289825506216188)","(651, 0.0859343171725754)"
"(383, 0.07939179397276197)","(293, 0.09833158018268445)","(384, 0.08645803827546397)","(12, 0.09503502737495609)","(660, 0.0428517604481966)","(666, 0.0944869508513299)","(492, 0.08469900673605114)","(522, 0.09228010847737242)","(447, 0.11011015424045996)","(263, 0.05134071983915215)","(147, 0.04452537515604293)","(53, 0.0646406684533426)","(629, 0.04445779530145888)","(247, 0.03413003959713534)","(296, 0.05501943272655179)","(193, 0.0)","(12, 0.08276084820033547)","(97, 0.08581007268619115)"
"(487, 0.07906953191995346)","(103, 0.09832515527628487)","(230, 0.0863285102496736)","(292, 0.09501635992770424)","(3, 0.0427504320117859)","(645, 0.09361972705419098)","(147, 0.08446755927200632)","(321, 0.09184125000004131)","(157, 0.11010420365401759)","(68, 0.050945736663847864)","(614, 0.04447522145252794)","(641, 0.06436837920459565)","(93, 0.042844682612263006)","(568, 0.03402290531682873)","(179, 0.05473606328274219)","(194, 0.0)","(38, 0.08273041487797846)","(547, 0.08546653115978539)"
"(466, 0.07904566630176751)","(107, 0.09750820522589074)","(145, 0.08591994033782248)","(452, 0.09472667515348535)","(96, 0.042625574397552865)","(166, 0.09358316433889245)","(203, 0.08357953247650632)","(299, 0.09151845177523094)","(16, 0.10997022265351312)","(306, 0.050510900288793216)","(278, 0.04438042601602672)","(488, 0.064090815363162)","(127, 0.04242952512924904)","(494, 0.033944877839988966)","(100, 0.05428567332901283)","(195, 0.0)","(633, 0.08263313570820288)","(159, 0.08536288884999027)"
"(134, 0.07834874347123474)","(565, 0.0971150430476486)","(651, 0.08588816508398339)","(569, 0.09469324212161166)","(581, 0.04251302908065224)","(388, 0.09350661011841678)","(648, 0.08355789596253613)","(76, 0.0911788053946027)","(590, 0.10991556080863041)","(250, 0.050486372439556754)","(544, 0.044370626376979826)","(522, 0.06395777556754474)","(81, 0.041639164821292124)","(65, 0.03392932143997413)","(619, 0.05424726451399034)","(196, 0.0)","(536, 0.08226969183874898)","(427, 0.08533416616490365)"
"(545, 0.07819148227366962)","(42, 0.09687609158262622)","(97, 0.08579253638948119)","(580, 0.0941362491201671)","(37, 0.04208667885421604)","(67, 0.09321576709139034)","(663, 0.0825423752354904)","(167, 0.09079863183413708)","(677, 0.10982039471690576)","(300, 0.05032396067980362)","(485, 0.044285065030319044)","(304, 0.06365003420866222)","(268, 0.04133298351423333)","(154, 0.033916629048471265)","(117, 0.05411402928902274)","(197, 0.0)","(420, 0.08221287004944872)","(276, 0.08502391848845749)"
"(421, 0.07794552082536961)","(579, 0.09663234438376343)","(547, 0.0856392106744757)","(645, 0.09386836404522539)","(72, 0.041819749709485196)","(325, 0.0918201734004959)","(664, 0.0818800667941886)","(669, 0.09017563808320055)","(383, 0.10969502117923498)","(399, 0.050321691750802304)","(62, 0.044255862545491007)","(504, 0.06350628504881546)","(520, 0.04041157184039225)","(215, 0.033785143901142616)","(76, 0.053561932189646264)","(198, 0.0)","(272, 0.08178301138290461)","(62, 0.08498078197628528)"
"(640, 0.07791141098191168)","(73, 0.09657794054060473)","(628, 0.08492795888043451)","(253, 0.09344022653960135)","(102, 0.04140006349674267)","(648, 0.09174403087598994)","(576, 0.08155070907003267)","(94, 0.0901717466898527)","(500, 0.10960707769672476)","(319, 0.05014595452455994)","(562, 0.04405413183098409)","(521, 0.06346168056285047)","(493, 0.04030686381322979)","(140, 0.03370386673938013)","(644, 0.05291866129862869)","(199, 0.0)","(655, 0.08145305370445002)","(674, 0.08463875515656487)"
"(201, 0.07742105805962725)","(388, 0.09631048097505464)","(83, 0.08476487212258221)","(552, 0.09283061190513607)","(425, 0.041315732431361524)","(60, 0.09114340249378478)","(487, 0.08147592887468429)","(198, 0.09011536215101017)","(141, 0.10941763517463535)","(234, 0.05011314422243915)","(72, 0.04399655097688728)","(529, 0.06332250723548116)","(552, 0.03960024142135922)","(73, 0.03368875126029523)","(530, 0.052401693421251075)","(20, 0.0)","(218, 0.08081291154763574)","(536, 0.0846001326277993)"
"(275, 0.07707734568264643)","(452, 0.09563939482103202)","(536, 0.08471877426825306)","(145, 0.09268646670311453)","(29, 0.04112629853838261)","(642, 0.09096512583890573)","(443, 0.08073442096595096)","(122, 0.08979352148520262)","(4, 0.10927364421205411)","(108, 0.050103628528473415)","(424, 0.043897849954016195)","(556, 0.0630635587822591)","(540, 0.038716334105284606)","(130, 0.03359296502035548)","(458, 0.051691552680664374)","(202, 0.0)","(169, 0.07893225597738679)","(49, 0.08455626863935342)"
"(413, 0.07696087645920999)","(636, 0.09527866398092394)","(519, 0.0847096933392532)","(542, 0.09240806042582597)","(468, 0.04069464195810238)","(558, 0.09070387323506077)","(136, 0.08046621293782097)","(20, 0.08936011703770236)","(49, 0.1088609261470208)","(533, 0.05009030629102671)","(245, 0.04374001116219379)","(165, 0.06298196963943503)","(62, 0.038194986704488426)","(613, 0.033345526042587226)","(81, 0.05166116811679633)","(203, 0.0)","(78, 0.078928809429886)","(574, 0.08422337648286506)"
"(441, 0.07690319331079477)","(127, 0.09516406295127434)","(501, 0.08445897253819333)","(47, 0.09206156907730398)","(137, 0.04046798449506373)","(68, 0.09048734199220816)","(544, 0.08038870626837535)","(151, 0.08872056532874752)","(248, 0.10884710351649488)","(65, 0.04998901377560525)","(16, 0.04370727550014431)","(58, 0.06277229228966771)","(548, 0.03714448423689532)","(452, 0.03313243352968039)","(665, 0.05142612580851461)","(204, 0.0)","(104, 0.07865121807488869)","(590, 0.0841456696886251)"
"(457, 0.07676137014466351)","(555, 0.09462948026435515)","(153, 0.08437391673587309)","(445, 0.09205087835291628)","(318, 0.039969284646646966)","(487, 0.09035014785526953)","(159, 0.08029928873440224)","(586, 0.08846572703695357)","(438, 0.10828790784717837)","(617, 0.049924332267119176)","(604, 0.04362473184926331)","(167, 0.06276911050853752)","(559, 0.03672883563149683)","(132, 0.03300098600477088)","(395, 0.051323860464161694)","(206, 0.0)","(544, 0.0780056604043762)","(297, 0.0840311088449749)"
"(291, 0.07675914977143163)","(546, 0.09410963623177739)","(49, 0.08429011052327932)","(136, 0.09201624016097258)","(97, 0.039949067144593044)","(578, 0.08985201927624614)","(72, 0.08000324643668684)","(587, 0.08843852538863456)","(256, 0.10821444381908404)","(494, 0.0498708962250649)","(48, 0.04348101753626748)","(276, 0.06211967844319639)","(616, 0.03664882473770961)","(546, 0.03293988835614155)","(516, 0.050687407579590435)","(21, 0.0)","(9, 0.07794100560558817)","(541, 0.08371108983434358)"
"(662, 0.07645091689970436)","(611, 0.09409400435507402)","(22, 0.08418054483707882)","(461, 0.09177802866054638)","(325, 0.03939123061633542)","(510, 0.08977003503966002)","(7, 0.07996593400014237)","(599, 0.08792649585649195)","(318, 0.10713796683076196)","(215, 0.049843624803455944)","(532, 0.04343035481152602)","(588, 0.061985927322445164)","(165, 0.03657772841059221)","(678, 0.03291928429184789)","(35, 0.05055716701134346)","(212, 0.0)","(563, 0.07691238923779833)","(100, 0.08316339739388652)"
"(384, 0.07629476737610703)","(678, 0.09371357421894473)","(159, 0.08401355870964457)","(207, 0.09158815846897995)","(532, 0.03912151181032734)","(544, 0.08930323662320556)","(471, 0.07910227223366441)","(672, 0.08766387367454351)","(89, 0.10708483650247798)","(555, 0.04981618531371388)","(100, 0.04332929879414259)","(278, 0.06193911592823355)","(446, 0.03589011031678551)","(25, 0.03290048027745606)","(98, 0.05034208574177857)","(216, 0.0)","(489, 0.07588634272051638)","(548, 0.08292173207721752)"
"(8, 0.07620749486651016)","(676, 0.09367773166488191)","(297, 0.08401181735273695)","(7, 0.0915151995074457)","(632, 0.03829000327407668)","(291, 0.08895366769388253)","(496, 0.07863240039212684)","(32, 0.08733567233754752)","(150, 0.10703909649050038)","(189, 0.04977957094500056)","(471, 0.043158854635201055)","(72, 0.06188918263948925)","(222, 0.03580901007218859)","(390, 0.03287224646129204)","(164, 0.05012117714501352)","(217, 0.0)","(669, 0.07321215017330279)","(440, 0.08223702530190834)"
"(618, 0.07612765172447439)","(389, 0.09346361710639357)","(583, 0.08357044936368181)","(400, 0.09148609292108448)","(126, 0.03812770708416208)","(646, 0.08865612220476739)","(647, 0.0784850827298284)","(22, 0.08714359278777069)","(521, 0.10637499723472606)","(28, 0.04977296397184766)","(415, 0.04296747073605651)","(12, 0.06110744860816829)","(625, 0.03507851493914169)","(267, 0.0328296005088995)","(224, 0.050013665734755526)","(22, 0.0)","(275, 0.07318359007791184)","(499, 0.08184187824146245)"
"(547, 0.07542002584784)","(189, 0.09314310289173672)","(548, 0.08304333048700477)","(678, 0.09139095879902835)","(63, 0.03785443488927952)","(128, 0.08848126542906092)","(245, 0.07830859243070797)","(107, 0.08708393560658462)","(113, 0.1063584210396392)","(73, 0.049689917900211183)","(9, 0.04291900638385882)","(440, 0.060869500092905995)","(287, 0.035038520114675356)","(521, 0.03272296682279934)","(522, 0.04981047439650258)","(220, 0.0)","(324, 0.07170306542971476)","(37, 0.0814765285696345)"
"(583, 0.07522615337742027)","(488, 0.09295725863766661)","(89, 0.08281045725347136)","(457, 0.09129087454620714)","(105, 0.03735375235810648)","(63, 0.08823793427518854)","(224, 0.07809438554904707)","(208, 0.08666044735235222)","(105, 0.10623945452311415)","(477, 0.04957582861045026)","(591, 0.04282428039550747)","(1, 0.06083452720627166)","(230, 0.03480249341819105)","(406, 0.032703580635647614)","(64, 0.04964605160126291)","(222, 0.0)","(613, 0.07140414234494691)","(625, 0.08128920551642538)"
"(674, 0.07512164606015828)","(463, 0.09197347690144524)","(120, 0.0827641094327666)","(147, 0.09112007198933182)","(122, 0.037309063378914674)","(313, 0.08822317642719081)","(680, 0.07771409709180706)","(582, 0.08625116622273724)","(456, 0.10520385457384401)","(6, 0.04945122576791397)","(438, 0.0428070406244161)","(216, 0.06080911282496925)","(665, 0.03312107309636076)","(166, 0.03255030673082888)","(616, 0.04908460836292085)","(224, 0.0)","(452, 0.06984624358487916)","(38, 0.08114357744739793)"
"(42, 0.07500868821323554)","(487, 0.09183477460720099)","(55, 0.08242191585538033)","(540, 0.09103229525779595)","(493, 0.036914715060978556)","(639, 0.08741072255406038)","(250, 0.07763252262935584)","(493, 0.08603388647224616)","(575, 0.1049243078833536)","(247, 0.04935579955313791)","(83, 0.04256216767554333)","(116, 0.06076087704652153)","(57, 0.032407425336823184)","(67, 0.03250922359620885)","(643, 0.04901669641917792)","(226, 0.0)","(385, 0.06948058010649767)","(50, 0.08082782311001221)"
"(540, 0.07405625415279253)","(84, 0.09155363288552373)","(456, 0.08202216394583814)","(25, 0.09095914732767693)","(170, 0.036780209469759156)","(399, 0.08730279123672481)","(328, 0.07721785350965635)","(89, 0.085994338195249)","(414, 0.1046788951870018)","(624, 0.04909034016802097)","(616, 0.04236617325813276)","(649, 0.06043439872006704)","(606, 0.03212799002650244)","(666, 0.03248704809667505)","(461, 0.04901537405933992)","(228, 0.0)","(629, 0.06936886390915556)","(158, 0.08025232165167845)"
"(297, 0.07384419344780639)","(51, 0.09095023665954703)","(540, 0.08195040459203808)","(153, 0.09078217147445244)","(203, 0.03634606335209395)","(398, 0.08723118422786555)","(461, 0.07650516218170957)","(161, 0.08592460692213819)","(402, 0.1043474123182207)","(14, 0.048887729170784044)","(574, 0.04210877562041098)","(8, 0.06040004477092025)","(18, 0.031164124523673356)","(446, 0.03242051886100983)","(111, 0.04886468259892889)","(229, 0.0)","(665, 0.0688772185195961)","(292, 0.07992846098208085)"
"(321, 0.07334911395804763)","(216, 0.09047016609361626)","(600, 0.08192654139138013)","(534, 0.09077895679105724)","(140, 0.036206896479819076)","(45, 0.08717218987818678)","(493, 0.07605642352809941)","(48, 0.08569630707702455)","(428, 0.10432555721480771)","(565, 0.04885210109452899)","(145, 0.04179576709492443)","(195, 0.06032475012615929)","(438, 0.03063090067400601)","(392, 0.032236831839678)","(167, 0.048759971145534195)","(230, 0.0)","(611, 0.06747776453446244)","(242, 0.079330395356769)"
"(62, 0.07330169281400917)","(322, 0.09023954723900506)","(499, 0.0816829963280585)","(545, 0.09067110953182797)","(636, 0.03589997566437942)","(541, 0.08713350406033762)","(574, 0.07538815700073784)","(2, 0.08562032075241019)","(185, 0.10418901217508006)","(96, 0.04874604849066893)","(160, 0.041691114067769264)","(230, 0.06026268930190789)","(558, 0.030136397626129668)","(466, 0.03222868335636617)","(588, 0.048757629861583815)","(237, 0.0)","(219, 0.06312891325365363)","(215, 0.07911961899276095)"
"(60, 0.07313573930807117)","(90, 0.08958870039645066)","(37, 0.0815588797340038)","(646, 0.09026229651434285)","(20, 0.03560586394328139)","(438, 0.08617282085987199)","(247, 0.07498064220633664)","(577, 0.0848607447146912)","(104, 0.10379189131729388)","(670, 0.048610673380452024)","(113, 0.04161813623396489)","(117, 0.06021946549041565)","(55, 0.029444792034896368)","(479, 0.03210245766023579)","(73, 0.0487099218907284)","(240, 0.0)","(561, 0.06286527745996333)","(229, 0.076931089628681)"
"(164, 0.07311699008923106)","(155, 0.0894576865848935)","(62, 0.08126103741998586)","(86, 0.08972029649841515)","(647, 0.035435059522940036)","(159, 0.0857562329752028)","(133, 0.07389834696595098)","(584, 0.0843626419192459)","(177, 0.10378421686220307)","(158, 0.04849105927131757)","(218, 0.041590513848605994)","(501, 0.060080099690378266)","(90, 0.02925973090724202)","(497, 0.032001416831536)","(477, 0.04859808473618209)","(245, 0.0)","(486, 0.06285174247823581)","(469, 0.07674694190667512)"
"(296, 0.07296986571275633)","(633, 0.08943123600641778)","(625, 0.0811072897347028)","(6, 0.08949342192296939)","(438, 0.03539639104131326)","(154, 0.08493033666628086)","(389, 0.07347476528241025)","(572, 0.08427272784658922)","(607, 0.10359594290034743)","(636, 0.04826578733119129)","(563, 0.041438730418940146)","(421, 0.059833599769282035)","(292, 0.028852893916775292)","(24, 0.0319960420347271)","(551, 0.04847580009636314)","(247, 0.0)","(443, 0.06257911513201907)","(543, 0.07644057951324046)"
"(55, 0.07274499075259679)","(562, 0.08916554124086375)","(606, 0.081026464053376)","(676, 0.08947573949541165)","(443, 0.03510881624118271)","(86, 0.08398163215045229)","(606, 0.07315789047456447)","(15, 0.0840166716089718)","(578, 0.10276155972847921)","(24, 0.048071639736499694)","(248, 0.0413447358098772)","(136, 0.05973706961163591)","(332, 0.0286228480404893)","(621, 0.03194233982221325)","(94, 0.048441658441842304)","(25, 0.0)","(612, 0.061615519809442985)","(9, 0.07616109300658337)"
"(470, 0.07261110696750306)","(195, 0.08867099836816408)","(233, 0.08096105694410166)","(58, 0.08941252094001796)","(196, 0.03504867856137828)","(248, 0.08357439726452562)","(121, 0.07279437892827167)","(271, 0.08384414865374804)","(194, 0.1014979819338069)","(253, 0.04806959715365313)","(275, 0.0412071347541713)","(413, 0.059726094676455725)","(633, 0.02845113913372268)","(401, 0.03181910108957699)","(651, 0.048175752110976765)","(251, 0.0)","(197, 0.0615525145410563)","(184, 0.07592979505255446)"
"(59, 0.07119905052224973)","(6, 0.0886538081738144)","(57, 0.08073734445037803)","(384, 0.08929598430630416)","(308, 0.03486209186491699)","(458, 0.08311448635195899)","(439, 0.07271574326775757)","(500, 0.08378644648225084)","(181, 0.10128815028633381)","(466, 0.048064005723807535)","(625, 0.04060921890555403)","(610, 0.05967707593834111)","(675, 0.028422499914384176)","(588, 0.031790909383489295)","(670, 0.04765196495298361)","(252, 0.0)","(320, 0.061449944674557305)","(36, 0.0747133902449254)"
"(173, 0.07115247262270628)","(545, 0.08861095562241224)","(50, 0.08060567785274343)","(261, 0.0892407638912626)","(240, 0.0343306424657786)","(77, 0.08269948570200665)","(218, 0.0726832461090893)","(35, 0.08368348257883218)","(162, 0.1005366726065046)","(312, 0.04803481369070712)","(402, 0.04052328398610116)","(438, 0.05949651480682386)","(640, 0.028364182961038188)","(552, 0.03173763827492776)","(90, 0.04727015497220546)","(256, 0.0)","(163, 0.06104314210474919)","(270, 0.07469277701603663)"
"(456, 0.07089513282623681)","(151, 0.08855698194655247)","(601, 0.08044931057258765)","(37, 0.08873579635837428)","(216, 0.03384341166167004)","(395, 0.08252327479080082)","(296, 0.07239016304102787)","(57, 0.0836723250204192)","(448, 0.10049788905976922)","(390, 0.04801319198193461)","(133, 0.040445391602471376)","(562, 0.05900314315568256)","(533, 0.026847122509278114)","(64, 0.03163989353247219)","(394, 0.047012091558877686)","(26, 0.0)","(584, 0.05946587153859714)","(632, 0.07396026892548864)"
"(220, 0.07066831713734545)","(474, 0.0882747276096041)","(634, 0.08044043519565376)","(41, 0.08817832407661351)","(309, 0.03357818052459395)","(89, 0.08246646856889872)","(679, 0.07238510650311117)","(170, 0.08364210928183011)","(391, 0.10036333684175187)","(479, 0.04760913382760248)","(581, 0.040437116999097196)","(86, 0.05881206000256604)","(234, 0.02667346186563285)","(538, 0.03163963092800214)","(561, 0.046748520227906785)","(263, 0.0)","(605, 0.05810127197203345)","(539, 0.07353391535275562)"
"(541, 0.07044741904856686)","(424, 0.08811601074166947)","(614, 0.08031932463167706)","(600, 0.0878044691429007)","(614, 0.033260074493243016)","(32, 0.08244695986907273)","(630, 0.0722936575836037)","(422, 0.0836409563424217)","(309, 0.10015125249648592)","(166, 0.04752438341478587)","(634, 0.040323915775454314)","(528, 0.058190228623752845)","(597, 0.026257896591439348)","(542, 0.03157091138822726)","(471, 0.04656084530252102)","(270, 0.0)","(470, 0.05801088177067825)","(438, 0.07331139864931961)"
"(148, 0.07041729372555777)","(428, 0.08809294595213427)","(272, 0.08005504097252196)","(201, 0.08775332263410555)","(562, 0.03294516823627703)","(461, 0.08188914616133826)","(270, 0.0717262362524924)","(277, 0.08335403966279313)","(608, 0.09981125707666413)","(401, 0.047521256251032)","(104, 0.03991491862188881)","(564, 0.05768371109229802)","(35, 0.026204589934090302)","(463, 0.0314883158926997)","(496, 0.046263375155118774)","(273, 0.0)","(102, 0.057902030038344716)","(480, 0.07316406027970683)"
"(331, 0.07025743585608142)","(48, 0.08792770484039054)","(307, 0.0799156974264594)","(89, 0.08774935812226876)","(245, 0.032710261049062286)","(196, 0.08169776882643025)","(138, 0.0716378205991424)","(320, 0.0833140782678965)","(520, 0.09825609981413776)","(64, 0.04737562232070357)","(321, 0.039737117919739225)","(218, 0.05763972189092577)","(473, 0.02602969464481117)","(165, 0.031343892515701896)","(620, 0.04597560111673852)","(274, 0.0)","(458, 0.0578331458984712)","(80, 0.06978963002143838)"
"(606, 0.06995904621831492)","(413, 0.08787142534686544)","(158, 0.07961568428961932)","(294, 0.08770520275683748)","(558, 0.0324338653499689)","(551, 0.08147858497603602)","(42, 0.07135529672114165)","(159, 0.08256472525735431)","(176, 0.09820178750076256)","(304, 0.047298658521100684)","(120, 0.03967339635488725)","(456, 0.0571186333888188)","(250, 0.025961860497607566)","(136, 0.03128791166146342)","(671, 0.04568199359059065)","(276, 0.0)","(276, 0.057464216153668916)","(648, 0.06881871183911804)"
"(393, 0.06966435058577553)","(486, 0.08752348748683186)","(215, 0.07880884674852112)","(398, 0.08761586985567488)","(270, 0.03238352276004202)","(103, 0.08133177783341802)","(593, 0.0713044688597846)","(100, 0.08238282053091513)","(517, 0.09792469018926432)","(19, 0.04721194612161522)","(456, 0.03940147457760307)","(189, 0.05691103972610773)","(147, 0.025724631823945677)","(114, 0.031179876621476053)","(300, 0.04568119389651713)","(277, 0.0)","(395, 0.057421771034526475)","(164, 0.06708090473893644)"
"(208, 0.06946921037432192)","(590, 0.0873443182258933)","(326, 0.07816326954581108)","(410, 0.08758616307546756)","(389, 0.03214140528769169)","(676, 0.08115455739586544)","(500, 0.07122711216117929)","(389, 0.08171016199010395)","(384, 0.09785507686720113)","(623, 0.04708783961096577)","(169, 0.03914965139782098)","(159, 0.056759992688712575)","(65, 0.025641900259331718)","(287, 0.03115319346002948)","(617, 0.04531843601919787)","(278, 0.0)","(439, 0.05636365442590303)","(589, 0.06697006572104136)"
"(271, 0.06836562823512594)","(147, 0.08701536760235896)","(477, 0.07636671798205452)","(677, 0.08679582808453884)","(415, 0.03213252619204062)","(650, 0.07993069238130972)","(468, 0.07096173000434197)","(679, 0.08138003184576255)","(154, 0.09751255415507326)","(67, 0.04704779838620772)","(669, 0.03911562844078563)","(622, 0.05558969325568412)","(624, 0.025616108769817226)","(540, 0.03112810427174029)","(416, 0.04508896281638232)","(279, 0.0)","(90, 0.05607740812602702)","(498, 0.06661736975564375)"
"(552, 0.06766033708455742)","(384, 0.0866816437330537)","(543, 0.07626664698572176)","(263, 0.08656820636537704)","(596, 0.03165886726031846)","(120, 0.07992529637212574)","(177, 0.07079912878419418)","(413, 0.0801745473396981)","(624, 0.09729591917627296)","(53, 0.04694268412671939)","(46, 0.03833712492704879)","(647, 0.05399383996741494)","(472, 0.025432090083005666)","(7, 0.031093385061455696)","(397, 0.04481110011933745)","(28, 0.0)","(630, 0.05603648651524916)","(609, 0.06655807634232809)"
"(2, 0.06723830957549211)","(230, 0.08655178183014184)","(330, 0.07625976805579165)","(244, 0.08645946255607462)","(439, 0.03162175166836291)","(576, 0.0794037310055133)","(594, 0.07034264435679276)","(421, 0.08005279935772383)","(96, 0.0966376785085639)","(392, 0.04693677439215462)","(661, 0.0381418768423408)","(667, 0.05353440310265719)","(1, 0.02540297833544497)","(294, 0.03103989235689506)","(48, 0.04429136974268768)","(285, 0.0)","(42, 0.05530914276969588)","(77, 0.0663963871509421)"
